uc_1,uc_2,coincidencia
1023,1025,42.22222222222222
1023,1026,2.5
1023,1033,18.25
1023,1122,7.0
1023,1129,1.0
1023,1144,1.0
1023,1208,1.0
1023,1209,1.0
1023,1220,2.0
1023,1225,2.5
1023,1266,3.0
1023,1269,1.0
1023,1307,4.2
1023,1312,1.0
1023,1321,128.71428571428572
1023,1322,183.75
1023,1323,1.25
1023,1324,2.3333333333333335
1023,1327,1.0
1023,1359,1.0
1023,1373,415.2
1023,1456,5.0
1023,1457,3.6
1023,1459,1.25
1023,1460,1.75
1023,1461,4.6
1023,1508,1.0
1023,1537,1.0
1023,1538,1.5
1023,1556,2.6
1023,1557,2.0
1023,1620,4.2
1023,1624,1.0
1023,1633,2.0
1023,1780,1.75
1023,1868,1.0
1023,1888,3.0
1023,1927,1.6666666666666667
1023,1945,4.5
1023,2011,2.25
1023,2013,1.5
1023,2018,2.0
1023,2020,3.0
1023,2032,1.3333333333333333
1023,2033,2.0
1023,2035,1.0
1023,2037,3.3333333333333335
1023,2038,4.0
1023,2060,1.0
1023,2098,1.0
1023,2099,1.0
1023,2216,1.0
1023,2217,1.0
1023,2246,1.0
1023,2380,1.0
1023,2391,1.0
1023,2398,2.0
1023,2414,1.0
1023,2504,1.0
1023,2505,1.0
1023,5508,1.0
1023,5511,1.0
1023,5514,1.5
1023,5603,1.0
1023,5705,1.0
1023,5720,3.0
1023,5824,4.0
1023,5828,1.0
1023,5839,2.5
1023,5853,1.0
1023,5855,1.8
1023,5866,1.0
1023,5904,4.125
1023,5905,1.5
1023,LIB49,1.0
1023,LIB55,1.0
1023,MI2,119.33333333333333
1023,PA318,1.0
1023,PA439,1.0
1023,PA456,1.0
1023,PA567,1.0
1023,PA97,1.0
1023,PC04,1.0
1023,PC124,1.0
1023,Q80,1.0
1023,Q82,2.0
1023,TTR13,2.0
1023,TTR16,1.0
1025,1038,4.0
1025,1144,2.0
1025,1215,1.0
1025,1216,1.0
1025,1220,9.0
1025,1266,8.6
1025,1269,5.0
1025,1307,8.4
1025,1312,2.0
1025,1321,120.71428571428571
1025,1322,19.5
1025,1323,29.25
1025,1324,36.4
1025,1325,11.2
1025,1327,7.25
1025,1340,2.25
1025,1354,3.0
1025,1359,2.4
1025,1373,28.2
1025,1437,1.0
1025,1446,4.25
1025,1456,4.8
1025,1457,1.75
1025,1465,3.0
1025,1509,1.0
