unidad_curricular,dia,turno
1122,7,1
1122,7,2
1122,7,3
1122,8,1
1122,8,2
1122,10,1
1122,10,2
1122,10,3
1122,11,1
1122,11,2
1122,11,3
1122,12,1
1122,12,2
1122,12,3
1122,13,1
1122,13,2
1122,13,3
1457,7,1
1457,7,2
1457,7,3
1457,8,1
1457,8,2
1457,10,1
1457,10,2
1457,10,3
1457,11,1
1457,11,2
1457,11,3
1457,12,1
1457,12,2
1457,12,3
1457,13,1
1457,13,2
1457,13,3
1537,7,1
1537,7,2
1537,7,3
1537,8,1
1537,8,2
1537,10,1
1537,10,2
1537,10,3
1537,11,1
1537,11,2
1537,11,3
1537,12,1
1537,12,2
1537,12,3
1537,13,1
1537,13,2
1537,13,3
2366,7,1
2366,7,2
2366,7,3
2366,8,1
2366,8,2
2366,10,1
2366,10,2
2366,10,3
2366,11,1
2366,11,2
2366,11,3
2366,12,1
2366,12,2
2366,12,3
2366,13,1
2366,13,2
2366,13,3
1805,7,1
1805,7,2
1805,7,3
1805,8,1
1805,8,2
1805,10,1
1805,10,2
1805,10,3
1805,11,1
1805,11,2
1805,11,3
1805,12,1
1805,12,2
1805,12,3
1805,13,1
1805,13,2
1805,13,3
1027,7,1
1027,7,2
1027,7,3
1027,8,1
1027,8,2
1027,10,1
1027,10,2
1027,10,3
1027,11,1
1027,11,2
1027,11,3
1027,12,1
1027,12,2
1027,12,3
1027,13,1
1027,13,2
1027,13,3






