unidad_curricular,uc,inscriptos
Geometria y Algebra lineal 1,1030,1157
Geometria y Algebra lineal 2,1031,787
Calculo Dif. Integral en una variable,1061,1029
Calculo dif. integral en varias variables,1062,800
Calculo Vectorial,1063,600
Fisica 1,1151,581
Fisica 2,1152,325
Fisica 3,1153,230
Probabilidad y Estadistica,1025,300
Administracion general para ingenieros,1944,300
Fenomenos de transporte en ingenieria de procesos,Q22,150
Tecnologia y servicios industriales 1,Q71,120
Ingenieria de reacciones quimicas 1,Q69,130
Ingenieria bioquimica,Q81,90
Electrotécnica 1,2108,100
Dinámica y Control de Procesos,Q94,120
Tratamiento biológico de Efluentes,Q56,100
Termodinámica aplicada,Q21,90
Transferencia de calor y masa 2,Q74,100
Instrumentación Industrial,2706,110
Diseño de procesos químicos,Q196,120
Gestión de Calidad,1954,130
Mecánica Newtoniana,1122,140
Principios de Química General,1620,150
Electrotécnica,5850,160
Señales y Sistemas,1457,78
Antenas y Propagación,5817,80
Imágenes médicas,5707,170
Redes de datos 2,5855,50
Electrónica de potencia,5609,90
Subestaciones de Media Tensión,5514,30
Intro. Invest. De Operaciones,1610,300
Medidas eléctricas,1461,100
Redes eléctricas,5508,110
Electrónica Avanzada 2,5717,20
Tecnologías de redes y servicios de telecomunicaciones,5866,50
Funciones de Variable Compleja,1066,100
Teoría de Lenguajes,1325,110
Logica,1027,230
Matemática Discreta 1,1023,300
Matemática Discreta 2,1026,200
Programación 1,1322,450
Programación 2,1321,300
Sistemas Operativos,1537,230
Materiales y ensayos,1508,100
Calidad de aguas,1854,110
Hormigón 1,2382,120
Elasticidad,2366,80
Tecnología del Hormigón,2371,60
Estructuras de Acero,2393,30
Mecánica Estructural,2381,80
Intro. A la Mecánica de Suelos,2207,82
Patologia de las estructuras,2389,60
Elementos de Mecánica de los fluidos,1805,135
Comp Mec de Materiales 1,1764,70
Intro al control Industrial,2707,130
Energía 1,1850,78
Energía 2,2394,43
Transferencia de calor 2,1824,125
Elementos de máquinas,1720,103
Intro a la ciencia de materiales,1723,97
Metalurgia de transformación,1724,68
Instrumentación Industrial,2706,77
Máquinas para fluidos 1,1856,112
Gestión de Calidad,1954,89
Administración de Operaciones,1915,45
Intro a la Ing. de Software,1716,225
