unidad_curricular,semestre,carrera
1061,1,civil
1030,1,civil
1151,1,civil
1620,1,civil
1062,2,civil
1031,2,civil
1152,2,civil
1224,2,civil
1063,3,civil
1025,3,civil
1122,3,civil
1154,3,civil
1153,3,civil
1411,4,civil
2368,4,civil
2256,4,civil
1064,4,civil
1508,5,civil
2366,5,civil
1805,5,civil
1312,6,civil
1715,6,civil
1833,6,civil
2206,6,civil
2230,6,civil
2382,7,civil
2207,7,civil
2240,7,civil
1700,7,civil
2371,7,civil
1944,7,civil
2395,8,civil
2352,8,civil
2232,8,civil
2246,8,civil
1851,8,civil
1033,8,civil
2404,9,civil
2393,9,civil
2355,9,civil
2231,9,civil
2407,10,civil
2510,10,civil
2384,10,civil
1061,1,elec
1030,1,elec
1151,1,elec
1062,2,elec
1031,2,elec
1152,2,elec
1322,2,elec
1063,3,elec
1025,3,elec
1153,3,elec
1122,3,elec
1154,3,elec
1064,4,elec
1128,4,elec
1155,4,elec
1456,4,elec
1512,4,elec
1066,5,elec
1457,5,elec
1513,5,elec
1307,5,elec
5715,5,elec
1033,6,elec
5905,6,elec
1460,6,elec
5824,6,elec
1461,7,elec
5850,7,elec
5507,8,elec
1224,10,elec
1061,1,ind_mec
1030,1,ind_mec
1151,1,ind_mec
1062,2,ind_mec
1031,2,ind_mec
1152,2,ind_mec
1153,2,ind_mec
1063,3,ind_mec
1025,3,ind_mec
1154,3,ind_mec
1122,3,ind_mec
1620,3,ind_mec
1064,4,ind_mec
1155,4,ind_mec
1411,4,ind_mec
1123,4,ind_mec
1805,5,ind_mec
1764,5,ind_mec
2108,5,ind_mec
1723,5,ind_mec
1823,6,ind_mec
1765,6,ind_mec
2109,6,ind_mec
1719,6,ind_mec
1805,6,ind_mec
1824,7,ind_mec
1850,7,ind_mec
1856,7,ind_mec
1944,7,ind_mec
2707,7,ind_mec
1922,8,ind_mec
5507,8,ind_mec
1859,8,ind_mec
2256,8,ind_mec
1610,9,ind_mec
2706,9,ind_mec
1815,10,ind_mec
1033,10,ind_mec
1061,1,alimentos
1030,1,alimentos
1151,1,alimentos
1062,2,alimentos
1031,2,alimentos
1152,2,alimentos
1224,2,alimentos
1063,3,alimentos
1153,3,alimentos
1025,3,alimentos
1064,4,alimentos
Q59,4,alimentos
Q22,5,alimentos
Q21,5,alimentos
1154,5,alimentos
Q66,6,alimentos
Q74,6,alimentos
Q69,7,alimentos
Q68,7,alimentos
A65,8,alimentos
Q80,9,alimentos
1954,9,alimentos
Q624,9,alimentos
Q81,9,alimentos
Q57,10,alimentos
1061,1,comp
1023,1,comp
1322,1,comp
1151,2,comp
1062,2,comp
1321,2,comp
1030,2,comp
1031,3,comp
1026,3,comp
1027,3,comp
1025,4,comp
1443,4,comp
1323,4,comp
1033,4,comp
1537,5,comp
1324,5,comp
1325,5,comp
1944,5,comp
1911,6,comp
1446,6,comp
1945,6,comp
1610,7,comp
1716,7,comp
1354,7,comp
1224,8,comp
1061,1,naval
1030,1,naval
1151,1,naval
1062,2,naval
1031,2,naval
1152,2,naval
1063,3,naval
1025,3,naval
1153,3,naval
1122,3,naval
1154,3,naval
1723,3,naval
1064,4,naval
1155,4,naval
1411,4,naval
1719,4,naval
1123,4,naval
1805,5,naval
1764,5,naval
2108,5,naval
1724,5,naval
1823,6,naval
1765,6,naval
2109,6,naval
2604,6,naval
1824,7,naval
1850,7,naval
1856,7,naval
Q16,7,naval
2320,7,naval
2600,7,naval
1922,8,naval
2200,8,naval
2603,8,naval
2600,8,naval
1610,9,naval
2605,9,naval
1818,9,naval
2601,9,naval
2602,9,naval
2256,10,naval
1061,1,prod
1030,1,prod
1151,1,prod
1062,2,prod
1031,2,prod
1152,2,prod
1322,2,prod
1025,3,prod
1122,3,prod
1154,3,prod
1620,3,prod
1223,3,prod
1153,4,prod
1123,4,prod
1510,4,prod
1922,4,prod
1033,4,prod
1610,5,prod
1940,5,prod
1944,5,prod
1764,5,prod
1723,5,prod
2038,6,prod
2401,6,prod
1224,6,prod
1945,6,prod
Q59,6,prod
2037,6,prod
1064,6,prod
1023,6,prod
1915,7,prod
2108,7,prod
2244,7,prod
1539,7,prod
Q22,7,prod
1805,7,prod
Q66,8,prod
2256,8,prod
2035,8,prod
2039,8,prod
1927,8,prod
Q74,8,prod
Q16,9,prod
3334,9,prod
Q94,9,prod
1631,9,prod
1632,9,prod
1920,9,prod
2391,9,prod
1777,9,prod
1779,9,prod
1633,9,prod
1061,1,quimica
1030,1,quimica
1151,1,quimica
1062,2,quimica
1031,2,quimica
1152,2,quimica
1063,3,quimica
1153,3,quimica
1025,3,quimica
1064,4,quimica
Q59,4,quimica
1025,5,quimica
Q22,5,quimica
Q21,5,quimica
1154,5,quimica
Q66,6,quimica
Q74,6,quimica
1411,6,quimica
2108,7,quimica
Q69,7,quimica
Q71,7,quimica
Q68,7,quimica
Q70,8,quimica
Q100,8,quimica
Q77C,8,quimica
Q73,8,quimica
Q81,9,quimica
Q80,9,quimica
Q94,9,quimica
Q57,10,quimica
1061,1,sisCom
1030,1,sisCom
1151,1,sisCom
1322,2,sisCom
1062,2,sisCom
1031,2,sisCom
1512,2,sisCom
1023,3,sisCom
1025,3,sisCom
1153,3,sisCom
1154,3,sisCom
1063,3,sisCom
1064,4,sisCom
5824,4,sisCom
1128,4,sisCom
1155,4,sisCom
1456,4,sisCom
5715,5,sisCom
1321,5,sisCom
1457,5,sisCom
1513,5,sisCom
5852,6,sisCom
1460,6,sisCom
1323,6,sisCom
1462,7,sisCom
5855,7,sisCom
1537,7,sisCom
5817,7,sisCom
1033,8,sisCom
1324,8,sisCom
1450,9,sisCom
