uc,inscriptos
1023,1066
1025,616
1026,289
1027,559
1030,1854
1031,554
1038,8
1057,10
1061,1640
1062,533
1063,352
1066,129
1122,378
1129,8
1131,32
1140,4
1151,1235
1152,209
1153,322
1154,268
1208,2
1209,3
1213,2
1215,15
1220,185
1235,6
1266,201
1269,69
1270,10
1271,41
1307,85
1316,43
1321,601
1322,186
1324,292
1325,224
1340,92
1347,11
1352,16
1353,30
1354,148
1359,33
1373,721
1418,11
1419,9
1420,8
1421,8
1434,25
1438,12
1440,10
1447,22
1448,11
1450,35
1456,28
1457,82
1461,66
1462,20
1464,22
1465,37
1508,73
1513,87
1522,11
1524,8
1527,10
1534,15
1537,311
1539,33
1545,20
1556,33
1610,437
1611,17
1620,249
1631,14
1632,24
1636,4
1650,486
1700,36
1716,157
1720,25
1722,11
1723,130
1724,20
1727,2
1730,24
1731,56
1749,42
1758,33
1764,123
1766,13
1767,28
1773,5
1774,46
1775,36
1776,27
1778,10
1780,14
1781,36
1788,10
1805,212
1817,11
1818,15
1824,73
1828,65
1835,34
1848,4
1850,95
1851,11
1854,12
1856,75
1857,17
1864,12
1866,41
1868,32
1870,1
1871,166
1876,6
1878,2
1879,1
1881,20
1885,1
1886,5
1888,24
1894,4
1895,8
1897,1
1898,31
1910,12
1915,34
1918,21
1920,49
1937,13
1938,53
1940,52
1942,62
1944,337
1949,34
1952,4
1954,49
2001,21
2002,19
2004,32
2011,20
2013,27
2018,5
2020,5
2021,2
2022,3
2023,10
2025,4
2030,1
2032,6
2040,24
2040A,1
2054,7
2060,2
2061,3
2098,11
2099,15
2108,183
2110,4
2112,6
2207,65
2210,3
2211,4
2212,1
2216,15
2217,13
2230,48
2231,41
2240,67
2244,34
2247,5
2253,9
2309,9
2314,4
2320,1
2355,34
2359,23
2366,82
2371,46
2379,19
2381,29
2382,65
2389,10
2391,9
2393,49
2394,12
2397,12
2398,12
2399,10
2403,8
2404,14
2405,7
2410,4
2411,25
2412,10
2414,14
2415,10
2419,24
2450,27
2504,11
2505,10
2600,3
2601,3
2605,3
2706,69
2707,36
2804,10
2804P,2
2805,11
3207,29
3334,30
5005,1
5504,10
5508,15
5514,11
5518,6
5603,14
5609,27
5705,7
5707,3
5712,1
5715,88
5717,27
5719,10
5720,18
5815,2
5817,15
5828,32
5839,18
5849,19
5850,77
5853,5
5855,21
5856,5
5859,1
5864,2
5866,6
5904,140
5906,2
5913,5
5916,50
A88,10
AC14,9
AC17,1
AC18,2
AC21,6
AC32,2
AC35,1
AC36,12
AC41,2
AC7,12
EP12,11
EP2,6
EP29,2
EP3,13
EP32,11
EP33,3
EP34,3
EP36,15
EP4,68
EP41,10
EP5,25
EP6,99
EP7,7
EP8,27
LIB36,2
LIB38,4
LIB49,19
LIB55,2
MI2,545
PA010,10
PA015,5
PA028,5
PA082,13
PA096,10
PA106,6
PA159,7
PA180,11
PA204,1
PA211,1
PA22,7
PA225,7
PA226,8
PA232,22
PA242,6
PA243,3
PA245,10
PA278,7
PA280,3
PA284,4
PA288,14
PA308,2
PA323,12
PA353,3
PA355,5
PA357,1
PA360,7
PA365,9
PA370,10
PA378,5
PA384,12
PA401,6
PA43,5
PA439,7
PA440,6
PA450,7
PA455,7
PA456,2
PA458,2
PA466,5
PA469,16
PA473,10
PA476,9
PA482,3
PA511,32
PA513,1
PA522,16
PA523,15
PA524,14
PA529,2
PA530,12
PA531,6
PA548,2
PA553,2
PA554,2
PA555,2
PA559,9
PA560,1
PA561,21
PA562,23
PA563,32
PA567,14
PA573,4
PA575,8
PA577,7
PA578,1
PA580,16
PA582,2
PA587,2
PA589,10
PA590,12
PA593,30
PA594,7
PA600,18
PA601,12
PA602,22
PA603,1
PA606,6
PA608,8
PA609,8
PA611,4
PA616,8
PA617,6
PA619,23
PA620,6
PA621,5
PA622,7
PA623,3
PA63,6
PA630,15
PA631,4
PA635,15
PA639,4
PA672,11
PA673,7
PA675,3
PA676,2
PA681,6
PA684,28
PA685,68
PA686,69
PA687,25
PA690,70
PA695,3
PA728,11
PA790,7
PA93,8
PA97,24
PC01,5
PC010,12
PC011,5
PC02,18
PC06,10
PC107,16
PC108,5
PC111,6
PC123,6
PC125,6
PC126,12
PC127,26
PC128,2
PC129,2
PC130,12
PC135,35
PC136,27
PC138,22
PC139,30
PC148,2
PC149,28
PC152,2
PC156,4
PC159,11
PC162,3
PC164,11
PC165,13
PC168,8
PC170,1
PC201,1
PC21,8
PC213,4
PC230,10
PC79,3
PC93,11
PC97,13
PCP01,1
PCP02,2
PCP03,3
PDE01,8
PE030,9
PE031,10
PE032,1
PE035,22
PE104,2
PE106,1
PE119,8
PE121,18
PE125,4
PE127,2
PE139,3
PE156,6
PE159,15
PE195,2
PE199,18
PE211,6
PE242,1
PE243,10
PE244,2
PE254,10
PE267,23
PE299,6
PE310,3
PE316,2
PE322,2
PE336,11
PE339,16
PE354,7
PE363,10
PE407,17
PE447,3
PE451,19
PE452,1
PE456,1
PE457,5
PE502,4
PE520,10
PE57,6
PE69,2
PE95,4
PEN11,3
PEN7,21
PEN8,4
PES01,3
PES17,5
PES7,4
PF09,6
PF32,7
PG02,6
PG10,2
PG13,8
PG19,5
PG32,3
PG34,7
PG35,5
PG38,8
PHS1,2
PM60,18
PQ01,6
PQ07,18
PQ09,11
PQ71,13
PQ72,4
PQ75,1
PQ77,2
PT3,1
Q104,15
Q13,8
Q16,36
Q196,20
Q196B,23
Q197,22
Q21,92
Q22,151
Q503,2
Q56,15
Q624,47
Q65,1
Q68,97
Q69,88
Q71,67
Q80,72
Q81,79
Q82,29
Q88,6
Q92,1
Q94,60
TCI11,11
TCI13,12
TCI20,12
TCI21,6
TCI22,5
TCI24,22
TCI26,2
TCI29,9
TI01,6
TI02,10
TI03,12
TI04,8
TI05,5
TI11,16
TI12,23
TI13,16
