unidad_curricular,semestre,carrera
1061,1,comp
1061,1,sisCom
1062,2,comp
1062,2,sisCom
1030,1,sisCom
1030,2,comp
1031,2,sisCom
1031,3,comp
1023,1,comp
1023,3,sisCom
1026,3,comp
1025,4,comp
1025,3,sisCom
1322,1,comp
1322,2,sisCom
1151,2,comp
1151,1,sisCom
1321,2,comp
1027,3,comp
5904,1,sisCom
1512,2,sisCom
1153,3,sisCom
1154,3,sisCom
1063,3,sisCom
1443,4,comp
1323,4,comp
1033,4,comp
1537,5,comp
1324,5,comp
1325,5,comp
1944,5,comp
1911,6,comp
1446,6,comp
1945,6,comp
1610,7,comp
1716,7,comp
1354,7,comp
1224,8,comp

