unidad_curricular,codigo
Geometria y Algebra lineal 1,1030
Geometria y Algebra lineal 2,1031
Calculo Dif. Integral en una variable,1061
Calculo dif. integral en varias variables,1062
Calculo Vectorial,1063
Fisica 1,1151
Fisica 2,1152
Fisica 3,1153
Probabilidad y Estadistica,1025
Administracion general para ingenieros,1944
Fenomenos de transporte en ingenieria de procesos,Q22
Electrotécnica 1,2108
Mecánica Newtoniana,1122
Principios de Química General,1620
Electrotécnica,5850
Señales y Sistemas,1457
Antenas y Propagación,5817
Imágenes médicas,5707
Redes de datos 2,5855
Electrónica de potencia,5609
Subestaciones de Media Tensión,5514
Intro. Invest. De Operaciones,1610
Medidas eléctricas,1461
Redes eléctricas,5508
Electrónica Avanzada 2,5717
Tecnologías de redes y servicios de telecomunicaciones,5866
Funciones de Variable Compleja,1066
Teoría de Lenguajes,1325
Logica,1027
Matemática Discreta 1,1023
Matemática Discreta 2,1026
Programación 1,1322
Programación 2,1321
Sistemas Operativos,1537
Materiales y ensayos,1508
Calidad de aguas,1854
Hormigón 1,2382
Elasticidad,2366
Tecnología del Hormigón,2371
Estructuras de Acero,2393
Mecánica Estructural,2381
Intro. A la Mecánica de Suelos,2207
Patologia de las estructuras,2389
Elementos de Mecánica de los fluidos,1805
Comp Mec de Materiales 1,1764
Intro al control Industrial,2707
Energía 1,1850
Energía 2,2394
Transferencia de calor 2,1824
Elementos de máquinas,1720
Intro a la ciencia de materiales,1723
Metalurgia de transformación,1724
Instrumentación Industrial,2706
Máquinas para fluidos 1,1856
Gestión de Calidad,1954
Administración de Operaciones,1915
Intro a la Ing. de Software,1716
