uc_1,uc_2,coincidencia
1023,1025,27.5
1023,1026,3.5
1023,1033,18.25
1023,1122,3.5
1023,1144,1.0
1023,1220,2.0
1023,1225,2.5
1023,1266,3.0
1023,1269,1.0
1023,1312,1.0
1023,1321,61.5
1023,1322,333.5
1023,1323,1.25
1023,1327,1.0
1023,1373,441.0
1023,1456,5.5
1023,1459,1.25
1023,1460,1.75
1023,1538,1.5
1023,1557,2.0
1023,1624,1.0
1023,1633,2.0
1023,1780,1.0
1023,1927,1.6666666666666667
1023,1945,4.5
1023,2011,1.0
1023,2013,1.0
1023,2018,1.0
1023,2032,1.5
1023,2033,2.0
1023,2035,1.0
1023,2037,3.3333333333333335
1023,2038,4.0
1023,2060,1.0
1023,2098,1.0
1023,2216,1.0
1023,2217,1.0
1023,2246,1.0
1023,2380,1.0
1023,2398,2.0
1023,5511,1.0
1023,5824,4.0
1023,5828,1.0
1023,5904,1.3333333333333333
1023,5905,1.5
1023,MI2,29.75
1023,PA318,1.0
1023,PA567,1.0
1023,PC04,1.0
1023,PC124,1.0
1023,TTR13,2.0
1025,1144,2.0
1025,1216,1.0
1025,1220,7.5
1025,1266,9.0
1025,1269,5.0
1025,1312,2.0
1025,1321,23.5
1025,1322,26.0
1025,1323,29.25
1025,1327,7.25
1025,1340,3.0
1025,1373,31.5
1025,1437,1.0
1025,1446,4.25
1025,1456,5.25
1025,1509,1.0
1025,1521,1.0
1025,1524,1.0
1025,1526,1.0
1025,1537,3.0
1025,1538,1.0
1025,1638,1.0
1025,1721,2.0
1025,1729,1.0
1025,1751,2.0
1025,1770,1.0
1025,1777,1.0
1025,1780,1.0
1025,1823,1.0
1025,1933,2.0
1025,1938,1.5
1025,1946,1.5
1025,1951,1.0
1025,2001,2.0
1025,2038,1.0
1025,2200,1.0
1025,2216,1.0
1025,2246,1.3333333333333333
1025,2352,1.5
1025,2368,3.75
1025,5824,1.0
1025,5905,1.0
1025,LIB10,1.0
1025,Q74,2.75
1026,1025,56.5
1026,1033,44.0
1026,1225,4.25
1026,1321,59.5
1026,1322,27.5
1026,1323,70.0
1026,1327,11.75
1026,1373,209.0
1026,1446,2.0
1026,1459,1.0
1026,1460,1.0
1026,1521,1.0
1026,1537,3.6666666666666665
1026,1624,1.0
1026,1633,1.0
1026,1721,1.0
1026,1780,2.0
1026,1868,2.0
1026,1945,3.25
1026,1951,1.0
1026,2001,1.0
1026,2037,1.0
1026,2038,1.0
1026,2216,1.0
1026,2217,1.0
1026,2352,2.0
1026,2359,1.0
1026,2391,1.0
1026,2450,1.0
1026,2511,1.0
1026,5905,1.0
1026,LIB10,1.0
1026,TI08,1.0
1026,TI20,1.0
1030,1023,235.25
1030,1209,1.0
1030,1220,40.5
1030,1225,2.0
1030,1266,49.0
1030,1269,17.0
