uc,inscriptos
1011,2
1023,735
1025,328
1026,339
1030,1031
1031,903
1033,519
1061,946
1062,1041
1063,224
1064,403
1122,158
1123,168
1128,111
1129,3
1139,1
1140,6
1144,50
1151,858
1152,324
1153,275
1155,140
1201,7
1208,1
1209,2
1214,22
1216,23
1219,5
1220,195
1224,845
1224A,16
1225,91
1226,32
1236,3
1266,159
1267,15
1268,14
1269,46
1312,62
1321,331
1322,1136
1323,409
1327,200
1340,91
1347,10
1349,12
1350,10
1354,220
1355,6
1373,1216
1374,13
1411,356
1413,1
1422,8
1437,9
1438,12
1440,7
1443,303
1446,184
1456,107
1458,10
1459,55
1460,89
1463,11
1466,484
1468,7
1480,24
1509,10
1510,161
1512,116
1521,12
1524,8
1526,9
1537,52
1538,22
1543,72
1557,3
1612,11
1614,13
1617,13
1618,14
1619,12
1624,20
1633,22
1634,6
1637,31
1638,37
1640,2
1641,2
1643,8
1644,6
1645,4
1648,11
1715,85
1715B,43
1718,8
1719,67
1721,140
1727,2
1729,6
1730,15
1731,63
1742,12
1751,18
1765,84
1770,18
1773,21
1775,13
1777,12
1779,68
1780,17
1802,11
1815,43
1815B,36
1823,67
1828,52
1833,55
1847,8
1852,7
1853,11
1855,7
1858,21
1859,7
1862,2
1866,71
1868,62
1869,9
1872,18
1873,2
1874,3
1875A,8
1880,7
1882,4
1882A,7
1885,2
1887,24
18887,1
1890,29
1891,10
1892,56
1893,12
1899,2
1900,29
1911,203
1913,10
1922,134
1926,8
1927,34
1933,40
1938,50
1941,40
1945,140
1946,23
1947,7
1948,22
1951,32
1952,2
1953,36
2001,47
2002,30
2011,24
2013,16
2014,6
2018,11
2019,3
2020,2
2021,4
2022,3
2025,5
2030,10
2032,7
2033,42
2035,32
2037,36
2038,35
2039,34
2040,30
2054,8
2060,6
2061,3
2062,1
2098,10
2109,82
2110,4
2112,11
2120,1
2200,35
2206,71
2209,1
2210,3
2211,4
2216,8
2217,8
2218,16
2230,20
2232,29
2242,25
2246,45
2247,11
2256,121
2258,2
2315,67
2316,11
2321,9
2352,40
2356,13
2359,22
2368,66
2375,6
2379,17
2380,27
2384,38
2386,30
2388,13
2391,13
2395,43
2396,10
2398,7
2400,3
2405,5
2406,2
2407,14
2410,2
2413,40
2415,16
2416,65
2417,14
2418,18
2450,22
2506,3
2507,8
2508,8
2510,57
2511,10
2603,3
2604,2
2803,4
2804,14
2804P,1
2805,5
2907,4
3207,7
3628,5
5005,29
5507,102
5511,11
5519,4
5520,10
5602,21
5604,4
5610,3
5708,8
5710,4
5713,9
5714,11
5716,30
5718,3
5724,15
5821,2
5824,76
5828,21
5836,3
5839,28
5847,4
5848,5
5851,2
5852,44
5854,3
5857,18
5862,12
5863,2
5904,16
5905,92
5910,9
5914,8
5920,9
A65,16
A88,10
AC10,2
AC14,3
AC36,8
AC39,1
AC43,1
EP11,23
EP13,9
EP15,9
EP18,6
EP19,8
EP21,9
EP22,1
EP25,2
EP31,45
EP39,12
EP4,41
EP5,58
EP6,35
EP7,31
EP8,66
EP9,8
GAL1P,103
LIB10,3
LIB55,2
MI2,164
P503,5
PA01,9
PA013,13
PA020,2
PA027,1
PA033,4
PA04,21
PA081,10
PA105,7
PA110,14
PA120,9
PA128,2
PA136,11
PA138,5
PA159,2
PA160,1
PA213,1
PA234,28
PA246,6
PA278,15
PA279,2
PA280,11
PA292,6
PA309,14
PA312,1
PA318,17
PA324,2
PA326,2
PA338,13
PA350,8
PA360,13
PA370,17
PA381,12
PA395,4
PA396,2
PA402,1
PA44,9
PA441,12
PA450,13
PA451,13
PA453,9
PA457,3
PA461,6
PA463,6
PA464,4
PA465,2
PA466,3
PA470,1
PA480,18
PA481,8
PA483,6
PA508,1
PA513,1
PA526,26
PA527,17
PA530,22
PA552,12
PA557,1
PA558,12
PA559,8
PA566,12
PA567,10
PA569,15
PA570,2
PA571,2
PA572,13
PA584,5
PA585,7
PA587,2
PA588,12
PA591,8
PA593,10
PA595,5
PA596,16
PA597,1
PA598,8
PA599,5
PA604,2
PA605,7
PA607,4
PA609,6
PA610,2
PA612,2
PA614,2
PA617,9
PA618,6
PA622,3
PA624,10
PA625,2
PA626,13
PA627,1
PA628,6
PA632,2
PA633,2
PA634,5
PA635,49
PA640,8
PA641,8
PA645,5
PA649,1
PA650,8
PA651,1
PA665,6
PA671,1
PA673,9
PA674,3
PA675,5
PA677,5
PA683,19
PA684,50
PA685,28
PA686,42
PA687,57
PA688,14
PA689,11
PA690,28
PA691,2
PA692,9
PA700,24
PA701,24
PA702,32
PA703,31
PA704,31
PA705,31
PA706,31
PA707,29
PA708,31
PA709,31
PA729,6
PA730,2
PA74,21
PA755,6
