"codenservicio_mat","nombre_mat","fecha_inicio","cantidad"
"PHS1","TRABAJO PRÁCTICO FINAL","2020-01-01","1"
"2018","MODULO DE TALLER 1","2020-02-01","1"
"PA553","GENERACIÓN ALEATORIA EN CRIPTOGRAFIA","2020-02-03","2"
"PA511","CONTAMINANTES EMERGENTES: PROBLEMAS, SOLUCIONES Y DESARROLLOS FUTUROS","2020-02-10","32"
"PA531","TOPICOS EN CART Y EN RANDOM FOREST","2020-02-10","6"
"PA594","ECOSISTEMA DIGITAL DE APRENDIZAJE INTELIGENTE","2020-02-10","7"
"PA554","PROCESOS GAUSSIANOS Y APRENDIZAJE AUTOMATICO","2020-02-12","2"
"PT3","GESTION INTEGRADA DE REDES Y SERVICIOS DE TELECOMUNICACIONES","2020-03-01","1"
"1023","MATEMATICA DISCRETA 1","2020-03-02","286"
"1025","PROBABILIDAD Y ESTADISTICA","2020-03-02","515"
"1026","MATEMATICA DISCRETA 2","2020-03-02","231"
"1027","LOGICA","2020-03-02","475"
"1030","GEOMETRIA Y ALGEBRA LINEAL 1","2020-03-02","1260"
"1031","GEOMETRIA Y ALGEBRA LINEAL 2","2020-03-02","345"
"1038","SISTEMAS DE REFERENCIA","2020-03-02","8"
"1057","METODOS MONTECARLO","2020-03-02","7"
"1061","CALCULO DIF. E INTEGRAL EN UNA VARIABLE","2020-03-02","1001"
"1062","CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES","2020-03-02","486"
"1063","CALCULO VECTORIAL","2020-03-02","335"
"1066","FUNCIONES DE VARIABLE COMPLEJA","2020-03-02","128"
"1122","MECANICA NEWTONIANA","2020-03-02","410"
"1131","INT. A LA FISICA MODERNA","2020-03-02","22"
"1140","LABORATORIO 3","2020-03-02","1"
"1151","FISICA 1","2020-03-02","1080"
"1152","FISICA 2","2020-03-02","179"
"1153","FISICA 3","2020-03-02","322"
"1154","FISICA EXPERIMENTAL 1","2020-03-02","307"
"1215","REPRESENTACION GRAFICA PARA INDUSTRIAS DE PROC.","2020-03-02","17"
"1220","TALLER DE DISEÑO, COM. Y REPRES. GRAFICA","2020-03-02","138"
"1307","PROGRAMACION PARA INGENIERIA ELECTRICA","2020-03-02","93"
"1316","INT. A LA COMPUTACION GRAFICA","2020-03-02","45"
"1321","PROGRAMACION 2","2020-03-02","468"
"1322","PROGRAMACION 1","2020-03-02","189"
"1324","PROGRAMACION 4","2020-03-02","261"
"1325","TEORIA DE LENGUAJES","2020-03-02","221"
"1353","DIDACTICA DE ALGORIT.Y ESTRUCT.DE DATOS","2020-03-02","25"
"1354","PROGRAMACION FUNCIONAL","2020-03-02","149"
"1359","TALLER DE DATOS ESPAC.Y SIST.DE INF.GEO.","2020-03-02","35"
"1418","GEODESIA 1","2020-03-02","8"
"1419","GEODESIA 3","2020-03-02","10"
"1420","CARTOGRAFIA MATEMATICA","2020-03-02","11"
"1421","GEOFISICA","2020-03-02","11"
"1434","COMPUTACION DE ALTA PERFORMANCE","2020-03-02","36"
"1438","APLICACIONES DE TEORIA DE LA INFORMACION AL PROC. DE IMAG.","2020-03-02","9"
"1440","ANALISIS Y DISEÑO DE ALGORIT.DISTRIB.EN REDES","2020-03-02","10"
"1447","COMPUT.DE PR.GRAL.EN UNID.DE PROC.GRAF.","2020-03-02","20"
"1448","ASPECTOS AVANZ. DE REDES DE COMPUTADORAS","2020-03-02","16"
"1450","INT. A LA TEORIA DE LA INFORMACION","2020-03-02","28"
"1457","SEÑALES Y SISTEMAS","2020-03-02","71"
"1461","MEDIDAS ELECTRICAS","2020-03-02","57"
"1462","COMUNICACIONES DIGITALES","2020-03-02","10"
"1508","MATERIALES Y ENSAYOS","2020-03-02","80"
"1513","INT. A LOS MICROPROCESADORES","2020-03-02","78"
"1522","TEORIA DE ERRORES 2","2020-03-02","11"
"1527","TOPOGRAFIA 1","2020-03-02","11"
"1534","DISEÑO LOGICO 2","2020-03-02","10"
"1537","SISTEMAS OPERATIVOS","2020-03-02","295"
"1539","GESTION DE LOS RRHH. EN LA PROD. DE BIENES Y SERV.","2020-03-02","27"
"1545","CRIPTOGRAFIA","2020-03-02","17"
"1556","SISTEMAS EMBEBIDOS PARA TIEMPO REAL","2020-03-02","34"
"1610","INT. A LA INVESTIGACION DE OPERACIONES","2020-03-02","397"
"1611","INT. AL ANALISIS RURAL","2020-03-02","16"
"1620","PRINCIPIOS DE QUIMICA GENERAL","2020-03-02","180"
"1636","MODELOS COMB. DE CONFIABILIDAD EN REDES","2020-03-02","3"
"1700","PROCEDIMIENTOS CONST.PARA ESTRUCTURAS","2020-03-02","36"
"1716","INT. A LA INGENIERIA DE SOFTWARE","2020-03-02","137"
"1720","ELEMENTOS DE MAQUINAS","2020-03-02","36"
"1722","TEORIA DE MAQUINAS Y MECANISMOS","2020-03-02","13"
"1723","INT. A LA CIENCIA DE MATERIALES","2020-03-02","123"
"1724","METALURGIA DE TRANSFORMACION","2020-03-02","24"
"1730","PROYECTO DE GRADO","2020-03-02","48"
"1731","PASANTIA (COMPUTACION)","2020-03-02","31"
"1749","INTERACCION PERSONA COMPUTADORA","2020-03-02","40"
"1758","RELACIONES PERSONALES EN ING. DE SOFT. Y GER. DE PROY.","2020-03-02","40"
"1764","COMPORTAMIENTO MECANICO DE MATERIALES 1","2020-03-02","127"
"1774","TALLER DE EVALUACION DE TECNOLOGIAS DE LA INF.","2020-03-02","35"
"1775","TALLER DE SISTEMAS EMPRESARIALES","2020-03-02","28"
"1776","TALLER DE SIST. DE INF. GEO. EMPRES.","2020-03-02","46"
"1780","TALLER DE ROBOTICA EDUCATIVA","2020-03-02","10"
"1781","SISTEMAS DE INFORMACION PARA EL ANALISIS DE GRANDES VOLUMENES DE DATOS","2020-03-02","35"
"1805","ELEMENTOS DE MECANICA DE LOS FLUIDOS","2020-03-02","202"
"1817","AGRIMENSURA LEGAL 3","2020-03-02","9"
"1818","MOTORES DE COMBUSTION INTERNA","2020-03-02","23"
"1824","TRANSFERENCIA DE CALOR 2","2020-03-02","63"
"1850","ENERGIA 1- COMBUSTION","2020-03-02","108"
"1851","SISTEMAS DE CONDUCCION EN ING.SANITARIA","2020-03-02","12"
"1854","CALIDAD DE AGUAS","2020-03-02","17"
"1856","MAQUINAS PARA FLUIDOS I","2020-03-02","71"
"1857","FUNDAMENTOS DE LA ROBOTICA AUTONOMA","2020-03-02","17"
"1864","ANALISIS SEMANTICO DE LENGUAJE NATURAL","2020-03-02","15"
"1866","APRENDIZAJE AUTOMATICO","2020-03-02","41"
"1910","AGRIMENSURA LEGAL 1","2020-03-02","16"
"1915","ADMINISTRACION DE OPERACIONES","2020-03-02","27"
"1918","ADMINISTRACION Y SEGURIDAD DE SISTEMAS","2020-03-02","42"
"1920","GESTION DE MANTENIMIENTO","2020-03-02","46"
"1940","GESTION DE CALIDAD","2020-03-02","54"
