unidad_curricular,semestre,carrera
1061,1,civil
1030,1,civil
1151,1,civil
1620,1,civil
1062,2,civil
1031,2,civil
1152,2,civil
1224,2,civil
1063,3,civil
1025,3,civil
1122,3,civil
1154,3,civil
1153,3,civil
1411,4,civil
2368,4,civil
2256,4,civil
1064,4,civil
1508,5,civil
2366,5,civil
1805,5,civil
1312,6,civil
1715,6,civil
1833,6,civil
2206,6,civil
2230,6,civil
2382,7,civil
2207,7,civil
2240,7,civil
1700,7,civil
2371,7,civil
1944,7,civil
2395,8,civil
2352,8,civil
2232,8,civil
2246,8,civil
1851,8,civil
1033,8,civil
2404,9,civil
2393,9,civil
2355,9,civil
2231,9,civil
2407,10,civil
2510,10,civil
2384,10,civil

