unidad_curricular,semestre,carrera
1061,1,ind_mec
1030,1,ind_mec
1151,1,ind_mec
1062,2,ind_mec
1031,2,ind_mec
1152,2,ind_mec
1153,2,ind_mec
1063,3,ind_mec
1025,3,ind_mec
1154,3,ind_mec
1122,3,ind_mec
1620,3,ind_mec
1064,4,ind_mec
1155,4,ind_mec
1411,4,ind_mec
1123,4,ind_mec
1805,5,ind_mec
1764,5,ind_mec
2108,5,ind_mec
1723,5,ind_mec
1823,6,ind_mec
1765,6,ind_mec
2109,6,ind_mec
1719,6,ind_mec
1805,6,ind_mec
1824,7,ind_mec
1850,7,ind_mec
1856,7,ind_mec
1944,7,ind_mec
2707,7,ind_mec
1922,8,ind_mec
5507,8,ind_mec
1859,8,ind_mec
2256,8,ind_mec
1650,9,ind_mec
2706,9,ind_mec
1815,10,ind_mec
1033,10,ind_mec
