unidad_curricular,semestre,carrera
1061,1,naval
1030,1,naval
1151,1,naval
1062,2,naval
1031,2,naval
1152,2,naval
1063,3,naval
1025,3,naval
1153,3,naval
1122,3,naval
1154,3,naval
1723,3,naval
1064,4,naval
1155,4,naval
1411,4,naval
1719,4,naval
1123,4,naval
1805,5,naval
1764,5,naval
2108,5,naval
1724,5,naval
1823,6,naval
1765,6,naval
2109,6,naval
2604,6,naval
1824,7,naval
1850,7,naval
1856,7,naval
Q16,7,naval
2320,7,naval
2600,7,naval
1922,8,naval
2200,8,naval
2603,8,naval
2600,8,naval
1650,9,naval
2605,9,naval
1818,9,naval
2601,9,naval
2602,9,naval
2256,10,naval
