unidad_curricular,semestre,carrera
1061,1,prod
1030,1,prod
1151,1,prod
1062,2,prod
1031,2,prod
1152,2,prod
1322,2,prod
1025,3,prod
1122,3,prod
1154,3,prod
1620,3,prod
1223,3,prod
1153,4,prod
1123,4,prod
1510,4,prod
1922,4,prod
1033,4,prod
1610,5,prod
1940,5,prod
1944,5,prod
1764,5,prod
1723,5,prod
2038,6,prod
2401,6,prod
1224,6,prod
1945,6,prod
Q59,6,prod
2037,6,prod
1064,6,prod
1023,6,prod
1915,7,prod
2108,7,prod
2244,7,prod
1539,7,prod
Q22,7,prod
1805,7,prod
Q66,8,prod
2256,8,prod
2035,8,prod
2039,8,prod
1927,8,prod
Q74,8,prod
Q16,9,prod
3334,9,prod
Q94,9,prod
1631,9,prod
1632,9,prod
1920,9,prod
2391,9,prod
1777,9,prod
1779,9,prod
1633,9,prod
