Día/Turno,Turno 1,Turno 2,Turno 3
Día 1,"GEOMETRIA Y ALGEBRA LINEAL 1 & CALIDAD DE AGUAS", "GEOMETRIA Y ALGEBRA LINEAL 2 & TECNOLOGIAS Y SERV. INDUSTRIALES 1 & MATERIALES Y ENSAYOS & INT. AL CONTROL INDUSTRIAL & COMPORTAMIENTO MECANICO DE MATERIALES 1",
Día 2,,,
Día 3,PROBABILIDAD Y ESTADISTICA, "MATEMATICA INICIAL & ENERGIA 1- COMBUSTION", "METALURGIA FISICA & ANTENAS Y PROPAGACION & IMAGENES MEDICAS: ADQUISICION, INSTRUMENTACION Y GESTION & HORMIGON ESTRUCTURAL 1 & TEORIA DE LENGUAJES & MATEMATICA 1 & MATEMATICA 3 & METALURGIA DE TRANSFORMACION"
Día 4,"INGENIERIA BIOQUIMICA & CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES & INGENIERIA DE LAS REACCIONES QUIMICAS 1", TRANSFERENCIA DE CALOR, "FENOMENOS DE TRANSPORTE E ING. DE PROCESOS & ELECTROTECNICA & ELASTICIDAD & ENERGIA 2: GEN ENERG PLANTAS VAPOR Y GAS"
Día 5,,,
Día 6,"FISICA 3 & DINAMICA Y CONTROL DE PROCESOS & SEÑALES Y SISTEMAS & TRANSFERENCIA DE CALOR 2", INT. A LA INVESTIGACION DE OPERACIONES, "SUBESTACIONES EN MEDIA TENSION & MATEMATICA 2 & INSTRUMENTACION Y CONTROL & TECNOLOGIA DEL HORMIGON"
Día 7,,FISICA 1, "REDES DE DATOS 2 & ELETRONICA DE POTENCIA & ESTRUCTURAS DE ACERO & INT. A LA INGENIERIA DE SOFTWARE & ELECTROTECNICA I & MAQUINAS ELECTRICAS"
Día 8,"FISICA 2 & MECANICA NEWTONIANA", "LOGICA & TRATAMIENTO DE EFLUENTES Y RESIDUOS SOLIDOS & ELEMENTOS DE MAQUINAS & MECANICA ESTRUCTURAL & COMPORTAMIENTO MEC. DE MATERIALES",
Día 9,,,
Día 10,"MEDIDAS ELECTRICAS & TERMODINAMICA APL. A LA ING.DE PROCESOS & PRINCIPIOS DE QUIMICA GENERAL & ADMINISTRACION DE OPERACIONES", "MATEMATICA DISCRETA 1 & METALURGIA DE TRANSFORMACION", "MATEMATICA DISCRETA 2 & INT. A LA MECANICA DE SUELOS & INT. A LA CIENCIA DE MATERIALES & INSTRUMENTACION INDUSTRIAL & INGLES TECNICO & MAQUINAS PARA FLUIDOS"
Día 11,"TRANSFERENCIA DE CALOR Y MASA 2 & TECNOLOGIAS DE REDES Y SERVICIOS DE TELECOMUNICACIONES", DISEÑO DE PROCESOS QUIMICOS, "INT A LA INGENIERIA INDUSTRIAL & PATOLOGIA DE LAS ESTRUCTURAS & CALCULO VECTORIAL & SISTEMAS OPERATIVOS & FISICA 1 & CONTROL DE CALIDAD"
Día 12,"PROGRAMACION 2 & MAQUINAS PARA FLUIDOS 1 & ELECTRONICA AVANZADA 2", PROGRAMACION 1, "REDES ELECTRICAS & ELEMENTOS DE MECANICA DE LOS FLUIDOS & GESTION DE CALIDAD & INTRODUCCION A LA CIENCIA DE LOS MATERIALES & FISICA 2 & HIDRAULICA Y NEUMATICA"
Día 13,FUNCIONES DE VARIABLE COMPLEJA, ADMINISTRACION GENERAL PARA INGENIEROS
