Día/Turno,Turno 1,Turno 2,Turno 3
Día 1,Geometría y Álgebra Lineal 1 (1030) & Calidad de Aguas (1854),Geometría y Álgebra Lineal 2 (1031) & Tecnologías y Servicios Industriales 1 (Q71) & Materiales y Ensayos (1508) & Comportamiento Mecánico de Materiales 1 (1764) & Int. al Control Industrial (2707),
Día 2,,,
Día 3,Probabilidad y Estadística (1025),Energía 1 - Combustión (1850),"Antenas y Propagación (5817) & Imágenes Médicas: Adquisición, Instrumentación y Gestión (5707) & Hormigón Estructural 1 (2382) & Teoría de Lenguajes (1325)"
Día 4,Ingeniería Bioquímica (Q81) & Cálculo Dif. e Int. en Varias Variables (1062) & Ingeniería de las Reacciones Químicas 1 (Q69),Cálculo Dif. e Int. en Una Variable (1061),Fenómenos de Transporte en Ing. de Procesos (Q22) & Electrotécnica (5850) & Elasticidad (2366) & Energía 2 - Gen. Energ. Plantas Vapor y Gas (2394)
Día 5,,,
Día 6,Física 3 (1153) & Dinámica y Control de Procesos (Q94) & Señales y Sistemas (1457) & Transferencia de Calor 2 (1824),Int. a la Investigación de Operaciones (1650),Subestaciones en Media Tensión (5514) & Tecnología del Hormigón (2371)
Día 7,Física 1 (1151),Redes de Datos 2 (5855) & Electronica de Potencia (5609) & Estructuras de Acero (2393) & Int. a la Ingeniería de Software (1716) & Electrotécnica I (2108),
Día 8,Física 2 (1152) & Mecánica Newtoniana (1122),Lógica (1027) & Tratamiento de efluentes y residuos sólidos (Q56) & Elementos de Máquinas (1720) & Mecánica Estructural (2381),
Día 9,,,
Día 10,Medidas Eléctricas (1461) & Termodinámica Aplicada a la Ing. de Procesos (Q21) & Principios de Química General (1620) & Administración de Operaciones (1915),Matemática Discreta 1 (1023) & Metalurgia de Transformación (1724),Matemática Discreta 2 (1026) & Introducción a la Mecánica de Suelos (2207) & Introducción a la Ciencia de Materiales (1723) & Instrumentación Industrial (2706)
Día 11,Transferencia de Calor y Masa 2 (Q74) & Tecnologías de Redes y Servicios de Telecom. (5866),Diseño de Procesos Químicos (Q196),Patología de las Estructuras (2389) & Cálculo Vectorial (1063) & Sistemas Operativos (1537)
Día 12,Programación 2 (1321) & Máquinas para Fluidos 1 (1856) & Electrónica Avanzada 2 (5717),Programación 1 (1373),Redes Eléctricas (5508) & Elementos de Mecánica de los Fluidos (1805) & Gestión de Calidad (1954)
Día 13,Funciones de Variable Compleja (1066),Administración General para Ingenieros (1944),
