Día/Turno,Turno 1,Turno 2,Turno 3
Día 1,Int. a la Investigación de Operaciones (1650) & Probabilidad y Estadística (1025),Geometría y Álgebra Lineal 1 (1030),Comunicaciones Digitales (1462) & Metalurgia de Transformación (1724) & Introducción a la Ciencia de los Materiales (TIM50) & Fisica 1 (TIM30) & Transferencia de Calor (TIM41) & Plan. Estrat. y Estrategia Competitiva (2391)
Día 2,Materiales y Ensayos (1508) & Hormigón Estructural 1 (2382) & Tratamiento de efluentes y residuos sólidos (Q104),Programación Funcional (1354),Ingles Técnico (TIM81) & Electrotécnica I (2108) & Programación para Ingeniería Eléctrica (1307) & Tecnologías de Redes y Servicios de Telecomunicaciones (5866) & Redes Eléctricas (5508)
Día 3,Principios de Química General (1620) & Programación 4 (1324) & Energía 1 - Combustión (1850),Geometría y Álgebra Lineal 2 (1031),
Día 5,Cálculo Dif. e Int. en Varias Variables (1062) & Electrónica Fundamental (5715),Cálculo Vectorial (1063) & Tecnología del Hormigón (2371) & Energía 2 - Gen. Energ. Plantas Vapor y Gas (2394) & Elementos de Gestión Logística (2244) & Ingeniería de las Reacciones Químicas 1 (Q69),Elementos de Máquinas (TIM53) & Electrónica de Potencia (5609) & Matemática 1 (TIM20) & Metalurgia Física (TIM51) & Matemática 3 (TIM22) & Metalurgia de Transformación (TIM54) & Calidad de Aguas (1854)
Día 6,Matemática Inicial (MI2) & Programación Lógica (1340) & Electrónica Avanzada 2 (5717),Cálculo Dif. e Int. en Una Variable (1061) & Patología de las Estructuras (2389) & Termodinámica Aplicada a la Ing. de Procesos (Q21),Instrumentación y Control (TIM72) & Comportamiento Mecánico de Materiales 1 (1764) & Instrumentación Industrial (2706) & Antenas y Propagación (5817) & Teoría de Lenguajes (1325)
Día 7,Int. a los Microprocesadores (1513) & Dinámica y Control de Procesos (Q94),Programación 2 (1321) & Introducción a la Mecánica de Suelos (2207) & Administración de Operaciones (1915) & Transferencia de Calor 2 (1824),Control de Calidad (TIM61) & Subestaciones en Media Tensión (5514)
Día 8,Mecánica Newtoniana (1122),Elasticidad (2366) & Matemática Discreta 2 (1026) & Tecnologías y Servicios Industriales 1 (Q71),Gestión de Calidad (1954) & Matemática 2 (TIM21) & Int. a la Prevención de Riesgos Laborales (Q16)
Día 9,Matemática Discreta 1 (1023) & Ingeniería Bioquímica (Q81),Sistemas Operativos (1537),Máquinas Eléctricas (TIM71) & Mecánica Estructural (2381) & Señales y Sistemas (1457) & Medidas Eléctricas (1461) & Introducción a la Ciencia de Materiales (1723) & Int. al Control Industrial (2707) & Física 2 (TIM31)
Día 10,Física 2 (1152),Física 1 (1151) & Redes de Datos 2 (5855),Administración General para Ingenieros (1944)
Día 12,Física 3 (1153) & Transferencia de Calor y Masa 2 (Q68),Programación 1 (1373) & Motores de Combustión Interna (1818) & Int. a la Ingeniería de Software (1716),Máquinas para Fluidos 1 (1856) & Electrotécnica (5850) & Comportamiento Mecánico de los Materiales (TIM52) & Máquinas para Fluidos (TIM42) & Fenómenos de Transporte en Ing. de Procesos (Q22) & Elementos de Mecánica de los Fluidos (1805) & Lógica (1027)
