"mat1","cod1","mat2","cod2","nom_periodo","cantidad"
"ADMINISTRACION DE INFRAESTRUCTURAS","TI17","BASES DE DATOS I","TI09","202002","2"
"ADMINISTRACION DE INFRAESTRUCTURAS","TI17","BASES DE DATOS I","TI09","202102","3"
"ADMINISTRACION DE INFRAESTRUCTURAS","TI17","BASES DE DATOS I","TI09","202302","1"
"ADMINISTRACION DE INFRAESTRUCTURAS","TI17","DESARROLLO DE SITIOS WEB CON PHP","TI23","202102","2"
"ADMINISTRACION DE INFRAESTRUCTURAS","TI17","ESTRUCTURAS DE DATOS Y ALGORITMOS","TI06","202002","3"
"ADMINISTRACION DE INFRAESTRUCTURAS","TI17","ESTRUCTURAS DE DATOS Y ALGORITMOS","TI06","202102","2"
"ADMINISTRACION DE INFRAESTRUCTURAS","TI17","ESTRUCTURAS DE DATOS Y ALGORITMOS","TI06","202302","1"
"ADMINISTRACION DE INFRAESTRUCTURAS","TI17","GEOMETRIA Y ALGEBRA LINEAL 2","1031","202202","1"
"ADMINISTRACION DE INFRAESTRUCTURAS","TI17","INGENIERIA DE SOFTWARE","TI18","202002","11"
"ADMINISTRACION DE INFRAESTRUCTURAS","TI17","INGENIERIA DE SOFTWARE","TI18","202102","8"
"ADMINISTRACION DE INFRAESTRUCTURAS","TI17","INGENIERIA DE SOFTWARE","TI18","202202","6"
"ADMINISTRACION DE INFRAESTRUCTURAS","TI17","INGENIERIA DE SOFTWARE","TI18","202302","2"
"ADMINISTRACION DE INFRAESTRUCTURAS","TI17","INGLES CONVERSACIONAL (ACT.COMPL.2)","TI10","202002","3"
"ADMINISTRACION DE INFRAESTRUCTURAS","TI17","INGLES CONVERSACIONAL (ACT.COMPL.2)","TI10","202102","1"
"ADMINISTRACION DE INFRAESTRUCTURAS","TI17","INT. AL TESTING FUNCIONAL","TI43","202002","3"
"ADMINISTRACION DE INFRAESTRUCTURAS","TI17","MATEMATICA DISCRETA Y LOGICA 2","TI07","202002","2"
"ADMINISTRACION DE INFRAESTRUCTURAS","TI17","PASANTIA LABORAL","TI21","202002","4"
"ADMINISTRACION DE INFRAESTRUCTURAS","TI17","PASANTIA LABORAL","TI21","202102","3"
"ADMINISTRACION DE INFRAESTRUCTURAS","TI17","PASANTIA LABORAL","TI21","202202","1"
"ADMINISTRACION DE INFRAESTRUCTURAS","TI17","PROBABILIDAD Y ESTADISTICA","TI19","202002","18"
"ADMINISTRACION DE INFRAESTRUCTURAS","TI17","PROBABILIDAD Y ESTADISTICA","TI19","202102","6"
"ADMINISTRACION DE INFRAESTRUCTURAS","TI17","PROBABILIDAD Y ESTADISTICA","TI19","202202","3"
"ADMINISTRACION DE INFRAESTRUCTURAS","TI17","PROBABILIDAD Y ESTADISTICA","TI19","202302","3"
