Día/Turno,Turno 1,Turno 2,Turno 3
Día 1,"GEOMETRIA Y ALGEBRA LINEAL 1, MATERIALES Y ENSAYOS, ADMINISTRACION DE OPERACIONES, GESTION DE CALIDAD","PROGRAMACION 1, SISTEMAS OPERATIVOS, INT. A LA CIENCIA DE MATERIALES, METALURGIA DE TRANSFORMACION, TRANSFERENCIA DE CALOR 2, INT. A LA MECANICA DE SUELOS, TECNOLOGIA Y SERV. INDUSTRIALES 1",
Día 2,,,
Día 3,"MATEMATICA DISCRETA 2, DISEÑO DE PROCESOS QUIMICOS","MAQUINAS PARA FLUIDOS I, ELECTRONICA AVANZADA 2","FISICA 3, ELECTROTECNICA, TRANSFERENCIA DE CALOR Y MASA 1"
Día 4,,"FUNCIONES DE VARIABLE COMPLEJA, PROGRAMACION 2, HORMIGON ESTRUCTURAL 1","PRINCIPIOS DE QUIMICA GENERAL, COMPORTAMIENTO MECANICO DE MATERIALES 1"
Día 5,"INT. A LA INGENIERIA DE SOFTWARE, ENERGIA 1- COMBUSTION",,"CALIDAD DE AGUAS, TERMODINAMICA APL. A LA ING.DE PROCESOS"
Día 6,"MATEMATICA DISCRETA 1, MECANICA NEWTONIANA, ESTRUCTURAS DE ACERO",REDES ELECTRICAS,
Día 7,MECANICA ESTRUCTURAL,"ELECTROTECNICA I, SUBESTACIONES EN MEDIA TENSION, ELECTRONICA DE POTENCIA, TECNOLOGIAS DE REDES Y SERVICIOS DE TELECOMUNICACIONES",
Día 8,,"FISICA 1, INSTRUMENTACION INDUSTRIAL, IMAGENES MEDICAS: ADQUISICION, INSTRUMENTACION Y GESTION",CALCULO VECTORIAL
Día 9,CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES,TRATAMIENTO BIOLOGICO DE EFLUENTES Y RESID.SOLIDOS,"ELEMENTOS DE MAQUINAS, ADMINISTRACION GENERAL PARA INGENIEROS"
Día 10,"PROBABILIDAD Y ESTADISTICA, ELEMENTOS DE MECANICA DE LOS FLUIDOS, PATOLOGIA DE LAS ESTRUCTURAS, REDES DE DATOS 2","GEOMETRIA Y ALGEBRA LINEAL 2, DINAMICA Y CONTROL DE PROCESOS","MEDIDAS ELECTRICAS, ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS"
Día 11,,,
Día 12,,,
Día 13,"LOGICA, FISICA 2, TEORIA DE LENGUAJES, INT. A LA INVESTIGACION DE OPERACIONES, FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS, INGENIERIA DE LAS REACCIONES QUIMICAS 1, INGENIERIA BIOQUIMICA","CALCULO DIF. E INTEGRAL EN UNA VARIABLE, SEÑALES Y SISTEMAS, ELASTICIDAD, TECNOLOGIA DEL HORMIGON, INT. AL CONTROL INDUSTRIAL, ANTENAS Y PROPAGACION",
