Día/Turno,Turno 1,Turno 2,Turno 3
Día 1,"PROBABILIDAD Y ESTADISTICA, LOGICA, MEDIDAS ELECTRICAS, TECNOLOGIA Y SERV. INDUSTRIALES 1","GEOMETRIA Y ALGEBRA LINEAL 1, METALURGIA DE TRANSFORMACION, ADMINISTRACION DE OPERACIONES, TECNOLOGIA DEL HORMIGON",
Día 2,,,
Día 3,"ELECTROTECNICA I, HORMIGON ESTRUCTURAL 1","SISTEMAS OPERATIVOS, INT. A LA INGENIERIA DE SOFTWARE, ELEMENTOS DE MAQUINAS",GEOMETRIA Y ALGEBRA LINEAL 2
Día 4,"TEORIA DE LENGUAJES, SEÑALES Y SISTEMAS","TERMODINAMICA APL. A LA ING.DE PROCESOS, DINAMICA Y CONTROL DE PROCESOS","MATEMATICA DISCRETA 1, MATEMATICA DISCRETA 2, ELECTRONICA DE POTENCIA"
Día 5,"INT. A LA MECANICA DE SUELOS, PATOLOGIA DE LAS ESTRUCTURAS","COMPORTAMIENTO MECANICO DE MATERIALES 1, TECNOLOGIAS DE REDES Y SERVICIOS DE TELECOMUNICACIONES",MAQUINAS PARA FLUIDOS I
Día 6,ENERGIA 1- COMBUSTION,PROGRAMACION 2,ELASTICIDAD
Día 7,"GESTION DE CALIDAD, INSTRUMENTACION INDUSTRIAL",ANTENAS Y PROPAGACION,"FISICA 1, FISICA 2"
Día 8,"FISICA 3, INT. AL CONTROL INDUSTRIAL","CALCULO DIF. E INTEGRAL EN UNA VARIABLE, ELEMENTOS DE MECANICA DE LOS FLUIDOS, ELECTRONICA AVANZADA 2, INGENIERIA DE LAS REACCIONES QUIMICAS 1",
Día 9,,,
Día 10,"INT. A LA INVESTIGACION DE OPERACIONES, SUBESTACIONES EN MEDIA TENSION","CALIDAD DE AGUAS, REDES ELECTRICAS","CALCULO VECTORIAL, DISEÑO DE PROCESOS QUIMICOS"
Día 11,"CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES, ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS",FUNCIONES DE VARIABLE COMPLEJA,TRANSFERENCIA DE CALOR 2
Día 12,"REDES DE DATOS 2, INGENIERIA BIOQUIMICA",FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS,"MECANICA NEWTONIANA, ADMINISTRACION GENERAL PARA INGENIEROS"
Día 13,"MECANICA ESTRUCTURAL, IMAGENES MEDICAS: ADQUISICION, INSTRUMENTACION Y GESTION, TRATAMIENTO BIOLOGICO DE EFLUENTES Y RESID.SOLIDOS","ESTRUCTURAS DE ACERO, ELECTROTECNICA, TRANSFERENCIA DE CALOR Y MASA 1","PROGRAMACION 1, MATERIALES Y ENSAYOS, PRINCIPIOS DE QUIMICA GENERAL, INT. A LA CIENCIA DE MATERIALES"
