Día/Turno,Turno 1,Turno 2,Turno 3
Día 1,MATEMATICA DISCRETA 1 (1023) & FISICA 2 (1152) & TEORIA DE LENGUAJES (1325) & ELEMENTOS DE MECANICA DE LOS FLUIDOS (1805),GEOMETRIA Y ALGEBRA LINEAL 1 (1030) & MEDIDAS ELECTRICAS (1461) & GESTION DE CALIDAD (1954),
Día 2,,,
Día 3,PROGRAMACION 1 (1322) & TECNOLOGIA Y SERV. INDUSTRIALES 1 (Q71),LOGICA (1027),SISTEMAS OPERATIVOS (1537) & PATOLOGIA DE LAS ESTRUCTURAS (2389)
Día 4,MATEMATICA DISCRETA 2 (1026),INGENIERIA DE LAS REACCIONES QUIMICAS 1 (Q69),TRATAMIENTO BIOLOGICO DE EFLUENTES Y RESID.SOLIDOS (Q56)
Día 5,TRANSFERENCIA DE CALOR 2 (1824) & HORMIGON ESTRUCTURAL 1 (2382),GEOMETRIA Y ALGEBRA LINEAL 2 (1031) & MECANICA NEWTONIANA (1122) & ELECTROTECNICA I (2108),TERMODINAMICA APL. A LA ING.DE PROCESOS (Q21)
Día 6,ESTRUCTURAS DE ACERO (2393),PROGRAMACION 2 (1321) & COMPORTAMIENTO MECANICO DE MATERIALES 1 (1764),INT. AL CONTROL INDUSTRIAL (2707)
Día 7,"INT. A LA MECANICA DE SUELOS (2207) & IMAGENES MEDICAS: ADQUISICION, INSTRUMENTACION Y GESTION (5707) & DINAMICA Y CONTROL DE PROCESOS (Q94)",FISICA 3 (1153) & MAQUINAS PARA FLUIDOS I (1856),FISICA 1 (1151)
Día 8,ADMINISTRACION DE OPERACIONES (1915) & TECNOLOGIA DEL HORMIGON (2371) & ANTENAS Y PROPAGACION (5817),CALCULO DIF. E INTEGRAL EN UNA VARIABLE (1061) & MATERIALES Y ENSAYOS (1508) & ENERGIA 1- COMBUSTION (1850),
Día 9,,,
Día 10,ELEMENTOS DE MAQUINAS (1720),MECANICA ESTRUCTURAL (2381) & TECNOLOGIAS DE REDES Y SERVICIOS DE TELECOMUNICACIONES (5866),PROBABILIDAD Y ESTADISTICA (1025) & INT. A LA INVESTIGACION DE OPERACIONES (1610)
Día 11,REDES ELECTRICAS (5508),SUBESTACIONES EN MEDIA TENSION (5514) & DISEÑO DE PROCESOS QUIMICOS (Q196),METALURGIA DE TRANSFORMACION (1724)
Día 12,ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS (2394) & ELECTROTECNICA (5850) & REDES DE DATOS 2 (5855) & INGENIERIA BIOQUIMICA (Q81),CALCULO VECTORIAL (1063) & INT. A LA INGENIERIA DE SOFTWARE (1716) & FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS (Q22),SEÑALES Y SISTEMAS (1457) & ADMINISTRACION GENERAL PARA INGENIEROS (1944)
Día 13,CALIDAD DE AGUAS (1854) & ELECTRONICA AVANZADA 2 (5717),ELASTICIDAD (2366) & INSTRUMENTACION INDUSTRIAL (2706) & ELECTRONICA DE POTENCIA (5609) & TRANSFERENCIA DE CALOR Y MASA 1 (Q74),CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES (1062) & FUNCIONES DE VARIABLE COMPLEJA (1066) & PRINCIPIOS DE QUIMICA GENERAL (1620) & INT. A LA CIENCIA DE MATERIALES (1723)
