Día/Turno,Turno 1,Turno 2,Turno 3
Día 1,MATEMATICA DISCRETA 2 & MECANICA NEWTONIANA & SEÑALES Y SISTEMAS & INT. A LA INVESTIGACION DE OPERACIONES & TECNOLOGIA DEL HORMIGON & INGENIERIA DE LAS REACCIONES QUIMICAS 1,"GEOMETRIA Y ALGEBRA LINEAL 1 & ADMINISTRACION DE OPERACIONES & IMAGENES MEDICAS: ADQUISICION, INSTRUMENTACION Y GESTION & TECNOLOGIAS DE REDES Y SERVICIOS DE TELECOMUNICACIONES & TRATAMIENTO BIOLOGICO DE EFLUENTES Y RESID.SOLIDOS & INGENIERIA BIOQUIMICA",
Día 2,,,
Día 3,PROGRAMACION 2 & SISTEMAS OPERATIVOS & TRANSFERENCIA DE CALOR 2 & ESTRUCTURAS DE ACERO & ELECTROTECNICA & TERMODINAMICA APL. A LA ING.DE PROCESOS,COMPORTAMIENTO MECANICO DE MATERIALES 1,ELASTICIDAD
Día 4,FISICA 1 & PROGRAMACION 1 & ENERGIA 1- COMBUSTION,MECANICA ESTRUCTURAL,CALCULO VECTORIAL & ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS
Día 5,,,
Día 6,GEOMETRIA Y ALGEBRA LINEAL 2 & ELECTROTECNICA I,DISEÑO DE PROCESOS QUIMICOS,ADMINISTRACION GENERAL PARA INGENIEROS
Día 7,FISICA 3,,ELEMENTOS DE MECANICA DE LOS FLUIDOS & REDES DE DATOS 2
Día 8,FISICA 2 & ELECTRONICA AVANZADA 2,CALCULO DIF. E INTEGRAL EN UNA VARIABLE & SUBESTACIONES EN MEDIA TENSION,
Día 9,,,
Día 10,PROBABILIDAD Y ESTADISTICA & ELEMENTOS DE MAQUINAS & CALIDAD DE AGUAS,CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES & DINAMICA Y CONTROL DE PROCESOS,
Día 11,ELECTRONICA DE POTENCIA,,FUNCIONES DE VARIABLE COMPLEJA & HORMIGON ESTRUCTURAL 1 & INT. AL CONTROL INDUSTRIAL
Día 12,,PATOLOGIA DE LAS ESTRUCTURAS,INSTRUMENTACION INDUSTRIAL & TECNOLOGIA Y SERV. INDUSTRIALES 1
Día 13,TEORIA DE LENGUAJES & INT. A LA INGENIERIA DE SOFTWARE & GESTION DE CALIDAD & REDES ELECTRICAS,LOGICA & MEDIDAS ELECTRICAS & PRINCIPIOS DE QUIMICA GENERAL & INT. A LA MECANICA DE SUELOS & ANTENAS Y PROPAGACION & TRANSFERENCIA DE CALOR Y MASA 1,MATEMATICA DISCRETA 1 & MATERIALES Y ENSAYOS & INT. A LA CIENCIA DE MATERIALES & METALURGIA DE TRANSFORMACION & MAQUINAS PARA FLUIDOS I & FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS
