Día/Turno,Turno 1,Turno 2,Turno 3
Día 1,MECANICA NEWTONIANA & COMPORTAMIENTO MECANICO DE MATERIALES 1 & INSTRUMENTACION INDUSTRIAL & REDES DE DATOS 2 & TECNOLOGIAS DE REDES Y SERVICIOS DE TELECOMUNICACIONES & TECNOLOGIA Y SERV. INDUSTRIALES 1,"GEOMETRIA Y ALGEBRA LINEAL 1 & ADMINISTRACION DE OPERACIONES & TECNOLOGIA DEL HORMIGON & PATOLOGIA DE LAS ESTRUCTURAS & INT. AL CONTROL INDUSTRIAL & IMAGENES MEDICAS: ADQUISICION, INSTRUMENTACION Y GESTION",
Día 2,,,
Día 3,GEOMETRIA Y ALGEBRA LINEAL 2 & MEDIDAS ELECTRICAS & MATERIALES Y ENSAYOS & MAQUINAS PARA FLUIDOS I & GESTION DE CALIDAD & INT. A LA MECANICA DE SUELOS,TERMODINAMICA APL. A LA ING.DE PROCESOS & DINAMICA Y CONTROL DE PROCESOS,ELEMENTOS DE MAQUINAS
Día 4,,LOGICA,CALCULO VECTORIAL & FUNCIONES DE VARIABLE COMPLEJA
Día 5,,,
Día 6,MATEMATICA DISCRETA 1 & TEORIA DE LENGUAJES & ELECTROTECNICA I & ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS,MATEMATICA DISCRETA 2,TRANSFERENCIA DE CALOR 2
Día 7,,CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES & INT. A LA INVESTIGACION DE OPERACIONES,PROBABILIDAD Y ESTADISTICA
Día 8,CALCULO DIF. E INTEGRAL EN UNA VARIABLE,SISTEMAS OPERATIVOS & MECANICA ESTRUCTURAL & HORMIGON ESTRUCTURAL 1,
Día 9,,,
Día 10,INT. A LA CIENCIA DE MATERIALES & ELASTICIDAD & REDES ELECTRICAS,SUBESTACIONES EN MEDIA TENSION,TRANSFERENCIA DE CALOR Y MASA 1
Día 11,TRATAMIENTO BIOLOGICO DE EFLUENTES Y RESID.SOLIDOS,,PROGRAMACION 1 & ENERGIA 1- COMBUSTION
Día 12,PROGRAMACION 2,METALURGIA DE TRANSFORMACION & FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS,FISICA 2 & PRINCIPIOS DE QUIMICA GENERAL
Día 13,CALIDAD DE AGUAS & ELECTRONICA DE POTENCIA & DISEÑO DE PROCESOS QUIMICOS,FISICA 1 & INT. A LA INGENIERIA DE SOFTWARE & ESTRUCTURAS DE ACERO & ELECTRONICA AVANZADA 2 & ANTENAS Y PROPAGACION & INGENIERIA BIOQUIMICA,FISICA 3 & SEÑALES Y SISTEMAS & ELEMENTOS DE MECANICA DE LOS FLUIDOS & ADMINISTRACION GENERAL PARA INGENIEROS & ELECTROTECNICA & INGENIERIA DE LAS REACCIONES QUIMICAS 1
