Día/Turno,Turno 1,Turno 2,Turno 3
Día 1,"GEOMETRIA Y ALGEBRA LINEAL 1 (1030) & TECNOLOGIA DEL HORMIGON (2371) & IMAGENES MEDICAS: ADQUISICION, INSTRUMENTACION Y GESTION (5707) & TECNOLOGIAS DE REDES Y SERVICIOS DE TELECOMUNICACIONES (5866) & INGENIERIA DE LAS REACCIONES QUIMICAS 1 (Q69)",PROBABILIDAD Y ESTADISTICA (1025) & PROGRAMACION 1 (1322) & ADMINISTRACION DE OPERACIONES (1915) & INT. AL CONTROL INDUSTRIAL (2707) & ELECTROTECNICA (5850) & INGENIERIA BIOQUIMICA (Q81),
Día 2,,,
Día 3,COMPORTAMIENTO MECANICO DE MATERIALES 1 (1764) & ENERGIA 1- COMBUSTION (1850) & ELASTICIDAD (2366) & ESTRUCTURAS DE ACERO (2393) & INSTRUMENTACION INDUSTRIAL (2706) & TERMODINAMICA APL. A LA ING.DE PROCESOS (Q21),MECANICA NEWTONIANA (1122) & INT. A LA INGENIERIA DE SOFTWARE (1716),FISICA 1 (1151) & MECANICA ESTRUCTURAL (2381)
Día 4,PROGRAMACION 2 (1321),CALIDAD DE AGUAS (1854),FISICA 2 (1152) & TEORIA DE LENGUAJES (1325)
Día 5,,,
Día 6,MATEMATICA DISCRETA 1 (1023) & INT. A LA MECANICA DE SUELOS (2207) & TECNOLOGIA Y SERV. INDUSTRIALES 1 (Q71),LOGICA (1027),SISTEMAS OPERATIVOS (1537) & INT. A LA CIENCIA DE MATERIALES (1723)
Día 7,,TRANSFERENCIA DE CALOR 2 (1824),FISICA 3 (1153)
Día 8,,CALCULO DIF. E INTEGRAL EN UNA VARIABLE (1061) & MATERIALES Y ENSAYOS (1508) & METALURGIA DE TRANSFORMACION (1724) & DINAMICA Y CONTROL DE PROCESOS (Q94),
Día 9,,,
Día 10,SEÑALES Y SISTEMAS (1457) & ELECTRONICA AVANZADA 2 (5717) & FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS (Q22),,HORMIGON ESTRUCTURAL 1 (2382)
Día 11,ELECTRONICA DE POTENCIA (5609),GEOMETRIA Y ALGEBRA LINEAL 2 (1031),INT. A LA INVESTIGACION DE OPERACIONES (1610) & REDES ELECTRICAS (5508)
Día 12,MAQUINAS PARA FLUIDOS I (1856),REDES DE DATOS 2 (5855),CALCULO VECTORIAL (1063) & ELECTROTECNICA I (2108)
Día 13,PATOLOGIA DE LAS ESTRUCTURAS (2389) & ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS (2394) & SUBESTACIONES EN MEDIA TENSION (5514) & TRATAMIENTO BIOLOGICO DE EFLUENTES Y RESID.SOLIDOS (Q56),MEDIDAS ELECTRICAS (1461) & PRINCIPIOS DE QUIMICA GENERAL (1620) & ELEMENTOS DE MAQUINAS (1720) & GESTION DE CALIDAD (1954) & DISEÑO DE PROCESOS QUIMICOS (Q196) & TRANSFERENCIA DE CALOR Y MASA 1 (Q74),MATEMATICA DISCRETA 2 (1026) & CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES (1062) & FUNCIONES DE VARIABLE COMPLEJA (1066) & ELEMENTOS DE MECANICA DE LOS FLUIDOS (1805) & ADMINISTRACION GENERAL PARA INGENIEROS (1944) & ANTENAS Y PROPAGACION (5817)
