Día/Turno,Turno 1,Turno 2,Turno 3
Día 1,"TRANSFERENCIA DE CALOR 2, ELECTRONICA DE POTENCIA, ELECTROTECNICA, DINAMICA Y CONTROL DE PROCESOS","CALCULO DIF. E INTEGRAL EN UNA VARIABLE, REDES ELECTRICAS, ELECTRONICA AVANZADA 2, DISEÑO DE PROCESOS QUIMICOS",
Día 2,,,
Día 3,"ELEMENTOS DE MAQUINAS, ADMINISTRACION GENERAL PARA INGENIEROS, PATOLOGIA DE LAS ESTRUCTURAS, TRATAMIENTO BIOLOGICO DE EFLUENTES Y RESID.SOLIDOS",FISICA 2,TECNOLOGIA Y SERV. INDUSTRIALES 1
Día 4,"COMPORTAMIENTO MECANICO DE MATERIALES 1, TECNOLOGIA DEL HORMIGON","MATEMATICA DISCRETA 1, MATEMATICA DISCRETA 2, TEORIA DE LENGUAJES",PROGRAMACION 2
Día 5,FISICA 1,"ESTRUCTURAS DE ACERO, TRANSFERENCIA DE CALOR Y MASA 1",MECANICA NEWTONIANA
Día 6,ELECTROTECNICA I,"PROBABILIDAD Y ESTADISTICA, SUBESTACIONES EN MEDIA TENSION","GEOMETRIA Y ALGEBRA LINEAL 2, INT. A LA INVESTIGACION DE OPERACIONES"
Día 7,"GESTION DE CALIDAD, IMAGENES MEDICAS: ADQUISICION, INSTRUMENTACION Y GESTION, REDES DE DATOS 2",HORMIGON ESTRUCTURAL 1,"FUNCIONES DE VARIABLE COMPLEJA, FISICA 3"
Día 8,CALIDAD DE AGUAS,"GEOMETRIA Y ALGEBRA LINEAL 1, INSTRUMENTACION INDUSTRIAL",
Día 9,,,
Día 10,"CALCULO VECTORIAL, ADMINISTRACION DE OPERACIONES, ANTENAS Y PROPAGACION","MAQUINAS PARA FLUIDOS I, TECNOLOGIAS DE REDES Y SERVICIOS DE TELECOMUNICACIONES",INGENIERIA DE LAS REACCIONES QUIMICAS 1
Día 11,"MECANICA ESTRUCTURAL, ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS",CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES,"ELEMENTOS DE MECANICA DE LOS FLUIDOS, ENERGIA 1- COMBUSTION"
Día 12,"MEDIDAS ELECTRICAS, INT. A LA INGENIERIA DE SOFTWARE, INGENIERIA BIOQUIMICA","SEÑALES Y SISTEMAS, TERMODINAMICA APL. A LA ING.DE PROCESOS","MATERIALES Y ENSAYOS, PRINCIPIOS DE QUIMICA GENERAL, METALURGIA DE TRANSFORMACION"
Día 13,INT. A LA MECANICA DE SUELOS,"LOGICA, INT. A LA CIENCIA DE MATERIALES, INT. AL CONTROL INDUSTRIAL","PROGRAMACION 1, SISTEMAS OPERATIVOS, ELASTICIDAD, FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS"
