Día/Turno,Turno 1,Turno 2,Turno 3
Día 1,"GEOMETRIA Y ALGEBRA LINEAL 1, MECANICA ESTRUCTURAL, IMAGENES MEDICAS: ADQUISICION, INSTRUMENTACION Y GESTION, DISEÑO DE PROCESOS QUIMICOS","ELEMENTOS DE MECANICA DE LOS FLUIDOS, TECNOLOGIA DEL HORMIGON, ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS, DINAMICA Y CONTROL DE PROCESOS",
Día 2,,,
Día 3,"ADMINISTRACION GENERAL PARA INGENIEROS, PATOLOGIA DE LAS ESTRUCTURAS","PROBABILIDAD Y ESTADISTICA, SEÑALES Y SISTEMAS, ELECTRONICA DE POTENCIA",GEOMETRIA Y ALGEBRA LINEAL 2
Día 4,"MATEMATICA DISCRETA 2, ADMINISTRACION DE OPERACIONES","FISICA 2, ELECTRONICA AVANZADA 2",INGENIERIA BIOQUIMICA
Día 5,"SISTEMAS OPERATIVOS, COMPORTAMIENTO MECANICO DE MATERIALES 1","ELASTICIDAD, REDES ELECTRICAS",CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES
Día 6,CALIDAD DE AGUAS,"ENERGIA 1- COMBUSTION, ELECTROTECNICA I",CALCULO VECTORIAL
Día 7,ELECTROTECNICA,"LOGICA, INT. A LA INVESTIGACION DE OPERACIONES, HORMIGON ESTRUCTURAL 1",MECANICA NEWTONIANA
Día 8,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE, MAQUINAS PARA FLUIDOS I","ANTENAS Y PROPAGACION, TECNOLOGIAS DE REDES Y SERVICIOS DE TELECOMUNICACIONES, TECNOLOGIA Y SERV. INDUSTRIALES 1",
Día 9,,,
Día 10,ELEMENTOS DE MAQUINAS,TRANSFERENCIA DE CALOR 2,"FISICA 3, SUBESTACIONES EN MEDIA TENSION"
Día 11,TRATAMIENTO BIOLOGICO DE EFLUENTES Y RESID.SOLIDOS,"PROGRAMACION 2, INSTRUMENTACION INDUSTRIAL, TRANSFERENCIA DE CALOR Y MASA 1","METALURGIA DE TRANSFORMACION, INT. A LA MECANICA DE SUELOS"
Día 12,"MEDIDAS ELECTRICAS, INT. AL CONTROL INDUSTRIAL, FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS, INGENIERIA DE LAS REACCIONES QUIMICAS 1",FISICA 1,"PROGRAMACION 1, REDES DE DATOS 2"
Día 13,"TEORIA DE LENGUAJES, PRINCIPIOS DE QUIMICA GENERAL, ESTRUCTURAS DE ACERO","FUNCIONES DE VARIABLE COMPLEJA, MATERIALES Y ENSAYOS, INT. A LA INGENIERIA DE SOFTWARE, GESTION DE CALIDAD","MATEMATICA DISCRETA 1, INT. A LA CIENCIA DE MATERIALES, TERMODINAMICA APL. A LA ING.DE PROCESOS"
