alpha,beta,m_curricula,m_coincidencia,m_estudiantes,m_previas
0.5,0,4.823654283858791,4.406761710418242,906.9833333333333,6.340182007131535
0.5,0.25,4.515533627924862,3.8127246045227317,772.5,6.0768310979519375
0.5,0.5,3.8630157605692297,4.383124782695486,686.2333333333333,5.450764908341634
0.5,0.75,4.369506657021919,4.608007550982379,791.4333333333334,3.8670799893380994
0.5,1,4.416676173779173,4.4033822414913795,885.6666666666666,5.740709331346212
1,0,4.96104187918738,4.237632973155837,773.8333333333334,6.975370114990672
1,0.25,4.109851481193405,4.064149698556138,903.0166666666667,6.215628603385142
1,0.5,4.503688359866814,4.020891131043257,855.6833333333333,5.826502918141202
1,0.75,4.322810884209719,3.7219592361172107,757.25,4.0175231244999114
1,1,4.0875860607955685,4.472372309107465,823.2833333333333,5.303896169696442
