Día/Turno,Turno 1,Turno 2,Turno 3
Día 1,GEOMETRIA Y ALGEBRA LINEAL 1 (1030) & ELECTROTECNICA (5850) & TECNOLOGIA Y SERV. INDUSTRIALES 1 (Q71),MATEMATICA DISCRETA 2 (1026) & MECANICA NEWTONIANA (1122) & ADMINISTRACION GENERAL PARA INGENIEROS (1944) & ELASTICIDAD (2366) & FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS (Q22) & INGENIERIA BIOQUIMICA (Q81),
Día 2,,,
Día 3,MATEMATICA DISCRETA 1 (1023) & SEÑALES Y SISTEMAS (1457) & INT. A LA CIENCIA DE MATERIALES (1723) & METALURGIA DE TRANSFORMACION (1724) & TECNOLOGIA DEL HORMIGON (2371) & MECANICA ESTRUCTURAL (2381),LOGICA (1027) & TEORIA DE LENGUAJES (1325) & ENERGIA 1- COMBUSTION (1850) & ANTENAS Y PROPAGACION (5817),ELECTRONICA AVANZADA 2 (5717)
Día 4,TRANSFERENCIA DE CALOR Y MASA 1 (Q74),INSTRUMENTACION INDUSTRIAL (2706) & ELECTRONICA DE POTENCIA (5609),CALCULO VECTORIAL (1063) & ELEMENTOS DE MAQUINAS (1720)
Día 5,,,
Día 6,FUNCIONES DE VARIABLE COMPLEJA (1066) & MATERIALES Y ENSAYOS (1508) & ADMINISTRACION DE OPERACIONES (1915),INT. AL CONTROL INDUSTRIAL (2707),TECNOLOGIAS DE REDES Y SERVICIOS DE TELECOMUNICACIONES (5866)
Día 7,CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES (1062),INT. A LA INVESTIGACION DE OPERACIONES (1610),PROBABILIDAD Y ESTADISTICA (1025)
Día 8,CALCULO DIF. E INTEGRAL EN UNA VARIABLE (1061),INT. A LA MECANICA DE SUELOS (2207) & DISEÑO DE PROCESOS QUIMICOS (Q196) & INGENIERIA DE LAS REACCIONES QUIMICAS 1 (Q69),
Día 9,,,
Día 10,GEOMETRIA Y ALGEBRA LINEAL 2 (1031) & SUBESTACIONES EN MEDIA TENSION (5514) & TRATAMIENTO BIOLOGICO DE EFLUENTES Y RESID.SOLIDOS (Q56),COMPORTAMIENTO MECANICO DE MATERIALES 1 (1764),ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS (2394)
Día 11,ESTRUCTURAS DE ACERO (2393),,PRINCIPIOS DE QUIMICA GENERAL (1620)
Día 12,PROGRAMACION 2 (1321) & SISTEMAS OPERATIVOS (1537),,FISICA 2 (1152) & MAQUINAS PARA FLUIDOS I (1856) & ELECTROTECNICA I (2108)
Día 13,PROGRAMACION 1 (1322) & MEDIDAS ELECTRICAS (1461) & ELEMENTOS DE MECANICA DE LOS FLUIDOS (1805) & TRANSFERENCIA DE CALOR 2 (1824) & GESTION DE CALIDAD (1954),INT. A LA INGENIERIA DE SOFTWARE (1716) & CALIDAD DE AGUAS (1854) & HORMIGON ESTRUCTURAL 1 (2382) & PATOLOGIA DE LAS ESTRUCTURAS (2389) & TERMODINAMICA APL. A LA ING.DE PROCESOS (Q21) & DINAMICA Y CONTROL DE PROCESOS (Q94),"FISICA 1 (1151) & FISICA 3 (1153) & REDES ELECTRICAS (5508) & IMAGENES MEDICAS: ADQUISICION, INSTRUMENTACION Y GESTION (5707) & REDES DE DATOS 2 (5855)"
