Día/Turno,Turno 1,Turno 2,Turno 3
Día 1,SEÑALES Y SISTEMAS & ELECTRONICA DE POTENCIA & ELECTRONICA AVANZADA 2 & REDES DE DATOS 2,CALCULO DIF. E INTEGRAL EN UNA VARIABLE & TRANSFERENCIA DE CALOR 2 & ADMINISTRACION DE OPERACIONES & TECNOLOGIA DEL HORMIGON,
Día 2,,,
Día 3,MECANICA NEWTONIANA & ELEMENTOS DE MAQUINAS & CALIDAD DE AGUAS & PATOLOGIA DE LAS ESTRUCTURAS,REDES ELECTRICAS & TRATAMIENTO BIOLOGICO DE EFLUENTES Y RESID.SOLIDOS & INGENIERIA BIOQUIMICA,PROGRAMACION 1
Día 4,MECANICA ESTRUCTURAL & DISEÑO DE PROCESOS QUIMICOS & FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS,SUBESTACIONES EN MEDIA TENSION & TECNOLOGIAS DE REDES Y SERVICIOS DE TELECOMUNICACIONES,ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS
Día 5,,,
Día 6,ELEMENTOS DE MECANICA DE LOS FLUIDOS & INSTRUMENTACION INDUSTRIAL & DINAMICA Y CONTROL DE PROCESOS,MEDIDAS ELECTRICAS & INT. A LA MECANICA DE SUELOS,CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES
Día 7,PROBABILIDAD Y ESTADISTICA & ENERGIA 1- COMBUSTION & INGENIERIA DE LAS REACCIONES QUIMICAS 1,INT. A LA INGENIERIA DE SOFTWARE & ELECTROTECNICA,COMPORTAMIENTO MECANICO DE MATERIALES 1
Día 8,MATEMATICA DISCRETA 2 & ADMINISTRACION GENERAL PARA INGENIEROS & ELECTROTECNICA I & ANTENAS Y PROPAGACION,GEOMETRIA Y ALGEBRA LINEAL 1 & ELASTICIDAD,
Día 9,,,
Día 10,"IMAGENES MEDICAS: ADQUISICION, INSTRUMENTACION Y GESTION",CALCULO VECTORIAL,FISICA 1 & FISICA 2
Día 11,MATEMATICA DISCRETA 1,LOGICA & TEORIA DE LENGUAJES & GESTION DE CALIDAD,INT. AL CONTROL INDUSTRIAL
Día 12,MAQUINAS PARA FLUIDOS I & HORMIGON ESTRUCTURAL 1 & TECNOLOGIA Y SERV. INDUSTRIALES 1,INT. A LA INVESTIGACION DE OPERACIONES,FISICA 3 & SISTEMAS OPERATIVOS & PRINCIPIOS DE QUIMICA GENERAL
Día 13,ESTRUCTURAS DE ACERO & TRANSFERENCIA DE CALOR Y MASA 1,FUNCIONES DE VARIABLE COMPLEJA & MATERIALES Y ENSAYOS & TERMODINAMICA APL. A LA ING.DE PROCESOS,GEOMETRIA Y ALGEBRA LINEAL 2 & PROGRAMACION 2 & INT. A LA CIENCIA DE MATERIALES & METALURGIA DE TRANSFORMACION
