Día/Turno,Turno 1,Turno 2,Turno 3
Día 1,SEÑALES Y SISTEMAS & INT. A LA CIENCIA DE MATERIALES & TECNOLOGIAS DE REDES Y SERVICIOS DE TELECOMUNICACIONES & TRANSFERENCIA DE CALOR Y MASA 1,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE & ELASTICIDAD & IMAGENES MEDICAS: ADQUISICION, INSTRUMENTACION Y GESTION & DINAMICA Y CONTROL DE PROCESOS",
Día 2,,,
Día 3,MATEMATICA DISCRETA 1 & SISTEMAS OPERATIVOS & TECNOLOGIA DEL HORMIGON,FISICA 2,PROGRAMACION 2 & PRINCIPIOS DE QUIMICA GENERAL
Día 4,TEORIA DE LENGUAJES & COMPORTAMIENTO MECANICO DE MATERIALES 1,ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS,MATEMATICA DISCRETA 2 & CALCULO VECTORIAL & CALIDAD DE AGUAS & TRATAMIENTO BIOLOGICO DE EFLUENTES Y RESID.SOLIDOS
Día 5,,,
Día 6,ELEMENTOS DE MECANICA DE LOS FLUIDOS & GESTION DE CALIDAD & REDES DE DATOS 2 & INGENIERIA DE LAS REACCIONES QUIMICAS 1,INT. A LA MECANICA DE SUELOS & INSTRUMENTACION INDUSTRIAL,MAQUINAS PARA FLUIDOS I
Día 7,PATOLOGIA DE LAS ESTRUCTURAS,FUNCIONES DE VARIABLE COMPLEJA & ELECTROTECNICA I & HORMIGON ESTRUCTURAL 1,ELECTROTECNICA
Día 8,MECANICA NEWTONIANA & FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS,GEOMETRIA Y ALGEBRA LINEAL 1 & INT. AL CONTROL INDUSTRIAL,
Día 9,,,
Día 10,INT. A LA INVESTIGACION DE OPERACIONES & REDES ELECTRICAS & ELECTRONICA AVANZADA 2,PROBABILIDAD Y ESTADISTICA & ESTRUCTURAS DE ACERO,PROGRAMACION 1 & MECANICA ESTRUCTURAL
Día 11,TRANSFERENCIA DE CALOR 2 & DISEÑO DE PROCESOS QUIMICOS,ELECTRONICA DE POTENCIA,CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES
Día 12,MEDIDAS ELECTRICAS & TECNOLOGIA Y SERV. INDUSTRIALES 1 & INGENIERIA BIOQUIMICA,MATERIALES Y ENSAYOS & INT. A LA INGENIERIA DE SOFTWARE,GEOMETRIA Y ALGEBRA LINEAL 2 & ADMINISTRACION GENERAL PARA INGENIEROS
Día 13,ENERGIA 1- COMBUSTION & SUBESTACIONES EN MEDIA TENSION,LOGICA & ELEMENTOS DE MAQUINAS & ADMINISTRACION DE OPERACIONES & TERMODINAMICA APL. A LA ING.DE PROCESOS,FISICA 1 & FISICA 3 & METALURGIA DE TRANSFORMACION & ANTENAS Y PROPAGACION
