Día/Turno,Turno 1,Turno 2,Turno 3
Día 1,"GEOMETRIA Y ALGEBRA LINEAL 1 & TECNOLOGIA DEL HORMIGON & IMAGENES MEDICAS: ADQUISICION, INSTRUMENTACION Y GESTION & TECNOLOGIAS DE REDES Y SERVICIOS DE TELECOMUNICACIONES & INGENIERIA DE LAS REACCIONES QUIMICAS 1",PROBABILIDAD Y ESTADISTICA & PROGRAMACION 1 & ADMINISTRACION DE OPERACIONES & INT. AL CONTROL INDUSTRIAL & ELECTROTECNICA & INGENIERIA BIOQUIMICA,
Día 2,,,
Día 3,COMPORTAMIENTO MECANICO DE MATERIALES 1 & ENERGIA 1- COMBUSTION & CALIDAD DE AGUAS & ESTRUCTURAS DE ACERO & INSTRUMENTACION INDUSTRIAL & TERMODINAMICA APL. A LA ING.DE PROCESOS,MECANICA NEWTONIANA & INT. A LA INGENIERIA DE SOFTWARE & ELASTICIDAD,FISICA 1
Día 4,PROGRAMACION 2,ELECTRONICA DE POTENCIA,FISICA 2 & TEORIA DE LENGUAJES
Día 5,,,
Día 6,MATEMATICA DISCRETA 1 & INT. A LA MECANICA DE SUELOS & TECNOLOGIA Y SERV. INDUSTRIALES 1,LOGICA,SISTEMAS OPERATIVOS & INT. A LA CIENCIA DE MATERIALES & TRANSFERENCIA DE CALOR 2
Día 7,,,FISICA 3
Día 8,ELECTRONICA AVANZADA 2,CALCULO DIF. E INTEGRAL EN UNA VARIABLE & MATERIALES Y ENSAYOS & METALURGIA DE TRANSFORMACION & DINAMICA Y CONTROL DE PROCESOS,
Día 9,,,
Día 10,SEÑALES Y SISTEMAS & FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS,HORMIGON ESTRUCTURAL 1,GEOMETRIA Y ALGEBRA LINEAL 2 & INT. A LA INVESTIGACION DE OPERACIONES
Día 11,,REDES ELECTRICAS,MECANICA ESTRUCTURAL
Día 12,,MAQUINAS PARA FLUIDOS I & REDES DE DATOS 2,CALCULO VECTORIAL & ELECTROTECNICA I
Día 13,PATOLOGIA DE LAS ESTRUCTURAS & ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS & SUBESTACIONES EN MEDIA TENSION & TRATAMIENTO BIOLOGICO DE EFLUENTES Y RESID.SOLIDOS,MEDIDAS ELECTRICAS & PRINCIPIOS DE QUIMICA GENERAL & ELEMENTOS DE MAQUINAS & GESTION DE CALIDAD & DISEÑO DE PROCESOS QUIMICOS & TRANSFERENCIA DE CALOR Y MASA 1,MATEMATICA DISCRETA 2 & CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES & FUNCIONES DE VARIABLE COMPLEJA & ELEMENTOS DE MECANICA DE LOS FLUIDOS & ADMINISTRACION GENERAL PARA INGENIEROS & ANTENAS Y PROPAGACION
