Día/Turno,Turno 1,Turno 2,Turno 3
Día 1,GEOMETRIA Y ALGEBRA LINEAL 1 & GESTION DE CALIDAD & INT. A LA MECANICA DE SUELOS & ANTENAS Y PROPAGACION & TRATAMIENTO BIOLOGICO DE EFLUENTES Y RESID.SOLIDOS,PROBABILIDAD Y ESTADISTICA & FISICA 2 & TEORIA DE LENGUAJES & SEÑALES Y SISTEMAS & TRANSFERENCIA DE CALOR 2 & ADMINISTRACION DE OPERACIONES,
Día 2,,,
Día 3,PRINCIPIOS DE QUIMICA GENERAL & COMPORTAMIENTO MECANICO DE MATERIALES 1 & HORMIGON ESTRUCTURAL 1 & SUBESTACIONES EN MEDIA TENSION & TECNOLOGIAS DE REDES Y SERVICIOS DE TELECOMUNICACIONES & TECNOLOGIA Y SERV. INDUSTRIALES 1,GEOMETRIA Y ALGEBRA LINEAL 2 & MAQUINAS PARA FLUIDOS I,ELECTRONICA AVANZADA 2 & DISEÑO DE PROCESOS QUIMICOS
Día 4,CALCULO VECTORIAL,LOGICA,CALIDAD DE AGUAS & TERMODINAMICA APL. A LA ING.DE PROCESOS
Día 5,,,
Día 6,MATEMATICA DISCRETA 1 & MEDIDAS ELECTRICAS & SISTEMAS OPERATIVOS,ELEMENTOS DE MECANICA DE LOS FLUIDOS,ENERGIA 1- COMBUSTION
Día 7,REDES ELECTRICAS,,MECANICA NEWTONIANA & INGENIERIA BIOQUIMICA
Día 8,INT. A LA INVESTIGACION DE OPERACIONES,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE & IMAGENES MEDICAS: ADQUISICION, INSTRUMENTACION Y GESTION & INGENIERIA DE LAS REACCIONES QUIMICAS 1",
Día 9,,,
Día 10,MATEMATICA DISCRETA 2 & CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES & ELECTRONICA DE POTENCIA,TECNOLOGIA DEL HORMIGON,ELEMENTOS DE MAQUINAS
Día 11,MATERIALES Y ENSAYOS,INT. A LA CIENCIA DE MATERIALES,INT. AL CONTROL INDUSTRIAL
Día 12,MECANICA ESTRUCTURAL,ELECTROTECNICA,PROGRAMACION 2 & ELECTROTECNICA I
Día 13,FISICA 1 & INT. A LA INGENIERIA DE SOFTWARE & PATOLOGIA DE LAS ESTRUCTURAS & INSTRUMENTACION INDUSTRIAL,FUNCIONES DE VARIABLE COMPLEJA & FISICA 3 & ESTRUCTURAS DE ACERO & REDES DE DATOS 2 & TRANSFERENCIA DE CALOR Y MASA 1 & DINAMICA Y CONTROL DE PROCESOS,PROGRAMACION 1 & METALURGIA DE TRANSFORMACION & ADMINISTRACION GENERAL PARA INGENIEROS & ELASTICIDAD & ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS & FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS
