Día/Turno,Turno 1,Turno 2,Turno 3
Día 1,"ELEMENTOS DE MECANICA DE LOS FLUIDOS & HORMIGON ESTRUCTURAL 1 & IMAGENES MEDICAS: ADQUISICION, INSTRUMENTACION Y GESTION",CALCULO DIF. E INTEGRAL EN UNA VARIABLE & FISICA 3,
Día 2,,,
Día 3,FISICA 1 & TECNOLOGIA DEL HORMIGON,FUNCIONES DE VARIABLE COMPLEJA & FISICA 2,CALCULO VECTORIAL & TECNOLOGIAS DE REDES Y SERVICIOS DE TELECOMUNICACIONES
Día 4,CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES & INT. A LA INVESTIGACION DE OPERACIONES & PATOLOGIA DE LAS ESTRUCTURAS,PROBABILIDAD Y ESTADISTICA & DISEÑO DE PROCESOS QUIMICOS,CALIDAD DE AGUAS & TRATAMIENTO BIOLOGICO DE EFLUENTES Y RESID.SOLIDOS
Día 5,,,
Día 6,SEÑALES Y SISTEMAS & MAQUINAS PARA FLUIDOS I & ANTENAS Y PROPAGACION,ELECTRONICA DE POTENCIA,ELECTROTECNICA I
Día 7,GESTION DE CALIDAD & ELECTROTECNICA & DINAMICA Y CONTROL DE PROCESOS,LOGICA,INT. A LA INGENIERIA DE SOFTWARE & ENERGIA 1- COMBUSTION
Día 8,GEOMETRIA Y ALGEBRA LINEAL 1 & TRANSFERENCIA DE CALOR 2 & TECNOLOGIA Y SERV. INDUSTRIALES 1,MATEMATICA DISCRETA 1 & MATEMATICA DISCRETA 2 & TEORIA DE LENGUAJES & COMPORTAMIENTO MECANICO DE MATERIALES 1,
Día 9,,,
Día 10,MECANICA NEWTONIANA & MATERIALES Y ENSAYOS & SISTEMAS OPERATIVOS & REDES ELECTRICAS,ELEMENTOS DE MAQUINAS,PROGRAMACION 1 & MECANICA ESTRUCTURAL
Día 11,ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS,ADMINISTRACION DE OPERACIONES,INT. A LA MECANICA DE SUELOS & INT. AL CONTROL INDUSTRIAL
Día 12,MEDIDAS ELECTRICAS & INSTRUMENTACION INDUSTRIAL & INGENIERIA DE LAS REACCIONES QUIMICAS 1 & INGENIERIA BIOQUIMICA,PROGRAMACION 2 & METALURGIA DE TRANSFORMACION & REDES DE DATOS 2 & FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS,ADMINISTRACION GENERAL PARA INGENIEROS
Día 13,SUBESTACIONES EN MEDIA TENSION,ESTRUCTURAS DE ACERO & ELECTRONICA AVANZADA 2 & TERMODINAMICA APL. A LA ING.DE PROCESOS & TRANSFERENCIA DE CALOR Y MASA 1,GEOMETRIA Y ALGEBRA LINEAL 2 & PRINCIPIOS DE QUIMICA GENERAL & INT. A LA CIENCIA DE MATERIALES & ELASTICIDAD
