Día/Turno,Turno 1,Turno 2,Turno 3
Día 1,MATEMATICA DISCRETA 2 & PROGRAMACION 1 & TRANSFERENCIA DE CALOR 2 & TRANSFERENCIA DE CALOR Y MASA 1,"GEOMETRIA Y ALGEBRA LINEAL 1 & INT. A LA MECANICA DE SUELOS & PATOLOGIA DE LAS ESTRUCTURAS & IMAGENES MEDICAS: ADQUISICION, INSTRUMENTACION Y GESTION",
Día 2,,,
Día 3,MATEMATICA DISCRETA 1 & ELEMENTOS DE MECANICA DE LOS FLUIDOS & TERMODINAMICA APL. A LA ING.DE PROCESOS & INGENIERIA BIOQUIMICA,PROGRAMACION 2 & SISTEMAS OPERATIVOS,GEOMETRIA Y ALGEBRA LINEAL 2 & INT. A LA INVESTIGACION DE OPERACIONES
Día 4,LOGICA,TRATAMIENTO BIOLOGICO DE EFLUENTES Y RESID.SOLIDOS,TEORIA DE LENGUAJES & ELECTROTECNICA I
Día 5,,,
Día 6,MAQUINAS PARA FLUIDOS I,SEÑALES Y SISTEMAS,ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS
Día 7,GESTION DE CALIDAD & TECNOLOGIA DEL HORMIGON & INSTRUMENTACION INDUSTRIAL,FISICA 1 & ADMINISTRACION DE OPERACIONES & ANTENAS Y PROPAGACION & INGENIERIA DE LAS REACCIONES QUIMICAS 1,FISICA 2 & COMPORTAMIENTO MECANICO DE MATERIALES 1
Día 8,FISICA 3 & ADMINISTRACION GENERAL PARA INGENIEROS & TECNOLOGIA Y SERV. INDUSTRIALES 1,CALCULO DIF. E INTEGRAL EN UNA VARIABLE & MEDIDAS ELECTRICAS & METALURGIA DE TRANSFORMACION & DINAMICA Y CONTROL DE PROCESOS,
Día 9,,,
Día 10,MECANICA NEWTONIANA & ELEMENTOS DE MAQUINAS & MECANICA ESTRUCTURAL,ESTRUCTURAS DE ACERO,ELECTRONICA DE POTENCIA & ELECTRONICA AVANZADA 2
Día 11,REDES ELECTRICAS,CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES & INT. AL CONTROL INDUSTRIAL,PROBABILIDAD Y ESTADISTICA
Día 12,CALCULO VECTORIAL & ENERGIA 1- COMBUSTION,ELECTROTECNICA & REDES DE DATOS 2,ELASTICIDAD
Día 13,INT. A LA INGENIERIA DE SOFTWARE & SUBESTACIONES EN MEDIA TENSION & FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS,FUNCIONES DE VARIABLE COMPLEJA & CALIDAD DE AGUAS & TECNOLOGIAS DE REDES Y SERVICIOS DE TELECOMUNICACIONES & DISEÑO DE PROCESOS QUIMICOS,MATERIALES Y ENSAYOS & PRINCIPIOS DE QUIMICA GENERAL & INT. A LA CIENCIA DE MATERIALES & HORMIGON ESTRUCTURAL 1
