Día/Turno,Turno 1,Turno 2,Turno 3
Día 1,MATEMATICA DISCRETA 2,GEOMETRIA Y ALGEBRA LINEAL 1,
Día 2,,,
Día 3,GEOMETRIA Y ALGEBRA LINEAL 2 & MAQUINAS PARA FLUIDOS I & INGENIERIA BIOQUIMICA,MATEMATICA DISCRETA 1 & SISTEMAS OPERATIVOS,PROGRAMACION 2
Día 4,PROGRAMACION 1,LOGICA,ELASTICIDAD & ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS & SUBESTACIONES EN MEDIA TENSION
Día 5,,,
Día 6,INT. A LA MECANICA DE SUELOS & ELECTROTECNICA & TRATAMIENTO BIOLOGICO DE EFLUENTES Y RESID.SOLIDOS & INGENIERIA DE LAS REACCIONES QUIMICAS 1,TEORIA DE LENGUAJES & TECNOLOGIAS DE REDES Y SERVICIOS DE TELECOMUNICACIONES,CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES
Día 7,CALCULO VECTORIAL & FUNCIONES DE VARIABLE COMPLEJA,FISICA 2 & ADMINISTRACION GENERAL PARA INGENIEROS & TECNOLOGIA Y SERV. INDUSTRIALES 1,FISICA 1 & ELEMENTOS DE MECANICA DE LOS FLUIDOS
Día 8,CALCULO DIF. E INTEGRAL EN UNA VARIABLE & FISICA 3 & DISEÑO DE PROCESOS QUIMICOS,COMPORTAMIENTO MECANICO DE MATERIALES 1 & ENERGIA 1- COMBUSTION & ADMINISTRACION DE OPERACIONES & TECNOLOGIA DEL HORMIGON,
Día 9,,,
Día 10,INT. A LA INVESTIGACION DE OPERACIONES & ELECTRONICA DE POTENCIA & ELECTRONICA AVANZADA 2,ELEMENTOS DE MAQUINAS,"PROBABILIDAD Y ESTADISTICA & IMAGENES MEDICAS: ADQUISICION, INSTRUMENTACION Y GESTION"
Día 11,ANTENAS Y PROPAGACION,CALIDAD DE AGUAS & REDES ELECTRICAS,TRANSFERENCIA DE CALOR 2
Día 12,MEDIDAS ELECTRICAS & GESTION DE CALIDAD & REDES DE DATOS 2 & DINAMICA Y CONTROL DE PROCESOS,INT. A LA INGENIERIA DE SOFTWARE & HORMIGON ESTRUCTURAL 1 & INT. AL CONTROL INDUSTRIAL & TERMODINAMICA APL. A LA ING.DE PROCESOS,MECANICA NEWTONIANA & SEÑALES Y SISTEMAS & MATERIALES Y ENSAYOS & ELECTROTECNICA I
Día 13,MECANICA ESTRUCTURAL & PATOLOGIA DE LAS ESTRUCTURAS,ESTRUCTURAS DE ACERO & INSTRUMENTACION INDUSTRIAL & TRANSFERENCIA DE CALOR Y MASA 1,PRINCIPIOS DE QUIMICA GENERAL & INT. A LA CIENCIA DE MATERIALES & METALURGIA DE TRANSFORMACION & FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS
