Día/Turno,Turno 1,Turno 2,Turno 3
Día 1,MATEMATICA DISCRETA 2 & MECANICA NEWTONIANA & TECNOLOGIA DEL HORMIGON & TERMODINAMICA APL. A LA ING.DE PROCESOS,GEOMETRIA Y ALGEBRA LINEAL 1 & METALURGIA DE TRANSFORMACION & ADMINISTRACION DE OPERACIONES & TRANSFERENCIA DE CALOR Y MASA 1,
Día 2,,,
Día 3,"MATEMATICA DISCRETA 1 & PRINCIPIOS DE QUIMICA GENERAL & IMAGENES MEDICAS: ADQUISICION, INSTRUMENTACION Y GESTION",INT. A LA CIENCIA DE MATERIALES & ELECTRONICA DE POTENCIA & ELECTROTECNICA,LOGICA & TEORIA DE LENGUAJES
Día 4,GEOMETRIA Y ALGEBRA LINEAL 2,TECNOLOGIA Y SERV. INDUSTRIALES 1,PROGRAMACION 2 & SISTEMAS OPERATIVOS & INT. A LA INVESTIGACION DE OPERACIONES & ESTRUCTURAS DE ACERO
Día 5,,,
Día 6,ELEMENTOS DE MECANICA DE LOS FLUIDOS & ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS & REDES ELECTRICAS,INGENIERIA BIOQUIMICA,HORMIGON ESTRUCTURAL 1
Día 7,INT. AL CONTROL INDUSTRIAL & ANTENAS Y PROPAGACION & INGENIERIA DE LAS REACCIONES QUIMICAS 1,FISICA 1 & FISICA 3,PROGRAMACION 1
Día 8,CALCULO DIF. E INTEGRAL EN UNA VARIABLE & FISICA 2,PROBABILIDAD Y ESTADISTICA & COMPORTAMIENTO MECANICO DE MATERIALES 1 & ENERGIA 1- COMBUSTION & INT. A LA MECANICA DE SUELOS,
Día 9,,,
Día 10,CALIDAD DE AGUAS & DISEÑO DE PROCESOS QUIMICOS & TRATAMIENTO BIOLOGICO DE EFLUENTES Y RESID.SOLIDOS,MECANICA ESTRUCTURAL,PATOLOGIA DE LAS ESTRUCTURAS & TECNOLOGIAS DE REDES Y SERVICIOS DE TELECOMUNICACIONES
Día 11,SUBESTACIONES EN MEDIA TENSION,MAQUINAS PARA FLUIDOS I,SEÑALES Y SISTEMAS
Día 12,INT. A LA INGENIERIA DE SOFTWARE & GESTION DE CALIDAD & INSTRUMENTACION INDUSTRIAL & DINAMICA Y CONTROL DE PROCESOS,MATERIALES Y ENSAYOS & REDES DE DATOS 2,CALCULO VECTORIAL & ADMINISTRACION GENERAL PARA INGENIEROS & ELECTROTECNICA I
Día 13,ELEMENTOS DE MAQUINAS,CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES & FUNCIONES DE VARIABLE COMPLEJA & MEDIDAS ELECTRICAS,TRANSFERENCIA DE CALOR 2 & ELASTICIDAD & ELECTRONICA AVANZADA 2 & FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS
