Día/Turno,Turno 1,Turno 2,Turno 3
Día 1,GEOMETRIA Y ALGEBRA LINEAL 1 & MEDIDAS ELECTRICAS & TRANSFERENCIA DE CALOR 2,MATEMATICA DISCRETA 2 & FISICA 3 & PROGRAMACION 1 & TEORIA DE LENGUAJES & GESTION DE CALIDAD & DINAMICA Y CONTROL DE PROCESOS,
Día 2,,,
Día 3,GEOMETRIA Y ALGEBRA LINEAL 2 & ADMINISTRACION DE OPERACIONES & ADMINISTRACION GENERAL PARA INGENIEROS & ELECTRONICA AVANZADA 2 & TRATAMIENTO BIOLOGICO DE EFLUENTES Y RESID.SOLIDOS & TECNOLOGIA Y SERV. INDUSTRIALES 1,MECANICA NEWTONIANA & DISEÑO DE PROCESOS QUIMICOS,SEÑALES Y SISTEMAS & ANTENAS Y PROPAGACION
Día 4,TECNOLOGIA DEL HORMIGON & TERMODINAMICA APL. A LA ING.DE PROCESOS,SISTEMAS OPERATIVOS,COMPORTAMIENTO MECANICO DE MATERIALES 1 & CALIDAD DE AGUAS & MAQUINAS PARA FLUIDOS I
Día 5,,,
Día 6,MATEMATICA DISCRETA 1,LOGICA & INSTRUMENTACION INDUSTRIAL,PATOLOGIA DE LAS ESTRUCTURAS
Día 7,REDES ELECTRICAS,ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS,ELEMENTOS DE MECANICA DE LOS FLUIDOS & INGENIERIA DE LAS REACCIONES QUIMICAS 1
Día 8,CALCULO DIF. E INTEGRAL EN UNA VARIABLE & FISICA 2,PROBABILIDAD Y ESTADISTICA & HORMIGON ESTRUCTURAL 1 & INGENIERIA BIOQUIMICA,
Día 9,,,
Día 10,FISICA 1,TECNOLOGIAS DE REDES Y SERVICIOS DE TELECOMUNICACIONES,ENERGIA 1- COMBUSTION
Día 11,INT. A LA INVESTIGACION DE OPERACIONES,ELECTROTECNICA I,PROGRAMACION 2
Día 12,MATERIALES Y ENSAYOS & SUBESTACIONES EN MEDIA TENSION,INT. AL CONTROL INDUSTRIAL & REDES DE DATOS 2,CALCULO VECTORIAL
Día 13,"MECANICA ESTRUCTURAL & ESTRUCTURAS DE ACERO & ELECTRONICA DE POTENCIA & IMAGENES MEDICAS: ADQUISICION, INSTRUMENTACION Y GESTION",FUNCIONES DE VARIABLE COMPLEJA & INT. A LA INGENIERIA DE SOFTWARE & ELEMENTOS DE MAQUINAS & INT. A LA MECANICA DE SUELOS & ELECTROTECNICA & TRANSFERENCIA DE CALOR Y MASA 1,CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES & PRINCIPIOS DE QUIMICA GENERAL & INT. A LA CIENCIA DE MATERIALES & METALURGIA DE TRANSFORMACION & ELASTICIDAD & FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS
