Día/Turno,Turno 1,Turno 2,Turno 3
Día 1,LOGICA & MECANICA NEWTONIANA & ADMINISTRACION DE OPERACIONES & ADMINISTRACION GENERAL PARA INGENIEROS & INSTRUMENTACION INDUSTRIAL & INGENIERIA DE LAS REACCIONES QUIMICAS 1,GEOMETRIA Y ALGEBRA LINEAL 1 & METALURGIA DE TRANSFORMACION & CALIDAD DE AGUAS & GESTION DE CALIDAD & REDES ELECTRICAS & REDES DE DATOS 2,
Día 2,,,
Día 3,PROGRAMACION 1 & SEÑALES Y SISTEMAS & TRANSFERENCIA DE CALOR 2 & MECANICA ESTRUCTURAL & ELECTRONICA AVANZADA 2 & TECNOLOGIAS DE REDES Y SERVICIOS DE TELECOMUNICACIONES,TECNOLOGIA DEL HORMIGON & TERMODINAMICA APL. A LA ING.DE PROCESOS,MEDIDAS ELECTRICAS & SUBESTACIONES EN MEDIA TENSION
Día 4,GEOMETRIA Y ALGEBRA LINEAL 2,PATOLOGIA DE LAS ESTRUCTURAS,ELECTROTECNICA I & INT. AL CONTROL INDUSTRIAL
Día 5,,,
Día 6,TRATAMIENTO BIOLOGICO DE EFLUENTES Y RESID.SOLIDOS & TRANSFERENCIA DE CALOR Y MASA 1,,INT. A LA MECANICA DE SUELOS
Día 7,,FUNCIONES DE VARIABLE COMPLEJA,PROBABILIDAD Y ESTADISTICA & CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES & INT. A LA INVESTIGACION DE OPERACIONES
Día 8,CALCULO DIF. E INTEGRAL EN UNA VARIABLE,"ELASTICIDAD & IMAGENES MEDICAS: ADQUISICION, INSTRUMENTACION Y GESTION & INGENIERIA BIOQUIMICA",
Día 9,,,
Día 10,CALCULO VECTORIAL & ENERGIA 1- COMBUSTION,FISICA 1 & FISICA 2,
Día 11,PROGRAMACION 2 & SISTEMAS OPERATIVOS,COMPORTAMIENTO MECANICO DE MATERIALES 1,
Día 12,FISICA 3 & ELECTRONICA DE POTENCIA,ELEMENTOS DE MECANICA DE LOS FLUIDOS,DISEÑO DE PROCESOS QUIMICOS
Día 13,MATEMATICA DISCRETA 1 & TEORIA DE LENGUAJES & ELEMENTOS DE MAQUINAS & ANTENAS Y PROPAGACION & TECNOLOGIA Y SERV. INDUSTRIALES 1,INT. A LA INGENIERIA DE SOFTWARE & HORMIGON ESTRUCTURAL 1 & ESTRUCTURAS DE ACERO & ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS & ELECTROTECNICA & DINAMICA Y CONTROL DE PROCESOS,MATEMATICA DISCRETA 2 & MATERIALES Y ENSAYOS & PRINCIPIOS DE QUIMICA GENERAL & INT. A LA CIENCIA DE MATERIALES & MAQUINAS PARA FLUIDOS I & FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS
