alpha,beta,m_curricula,m_coincidencia,m_estudiantes,m_previas
0,0,4.600321543195864,4.464947898524183,898.7333333333333,6.923076923076923
0,0.25,-,-,-,-
0,0.5,-,-,-,-
0,0.75,3.3533892194565587,2.9549930118206227,2251.516666666667,5.024060981561451
0,1,-,-,-,-
0.25,0,3.630844308899872,3.9052885384945273,1533.9166666666667,6.697702515136189
0.25,0.25,3.106312743140069,3.4816351770716394,2042.7333333333333,4.506396617505088
0.25,0.5,3.923919786313279,3.5283058447610594,1771.6333333333332,4.283237858140683
0.25,0.75,2.897868514699559,2.7822097786800715,2222.0833333333335,3.4852269234056443
0.25,1,2.8746707985623403,2.960244862493784,2269.0666666666666,4.46082602753986
0.5,0,3.4120327566908895,3.7393857616210604,1452.8333333333333,7.032628351212022
0.5,0.25,3.622597929213558,3.613381993274936,1613.2333333333333,4.930980185541008
0.5,0.5,3.870657226507655,3.3900472676914646,1599.9333333333334,3.2997556440952565
0.5,0.75,3.280703220669644,3.8843676883762233,1469.5333333333333,3.3848770004967017
0.5,1,3.719913583715348,3.1804888946574206,1745.9666666666667,4.052693821925348
0.75,0,3.452461524780439,3.440016478281804,1430.9666666666667,6.467671436972461
0.75,0.25,3.423426766473863,3.693421216347314,1159.5666666666666,3.980616596001817
0.75,0.5,3.738682936698823,3.082300769555152,1905.8333333333333,3.6384064798356563
0.75,0.75,3.5289763383902306,3.3638636918991276,1542.6,3.953271317763545
0.75,1,3.547549582521774,3.062357212748539,1798.3333333333333,3.62402874544559
1,0,3.8568380498662704,3.499699544460766,1786.5833333333333,6.788244443419119
1,0.25,3.757205433087747,3.6762010042163755,1590.5833333333333,6.188882235001823
1,0.5,3.4481396424872677,3.766150893576984,1266.1166666666668,3.463854838766267
1,0.75,2.635514400537547,2.4958908100570865,2512.15,3.157436022088421
1,1,4.211358313275872,3.282413732226544,1950.25,3.753577684525767
