alpha,beta,m_curricula,m_coincidencia,m_estudiantes,m_previas
0.5,0,4.694344346703676,4.134136328374013,740.1166666666667,5.873337222643642
0.5,0.25,4.712337673673823,3.965137308431122,668.2333333333333,5.7172053436431165
0.5,0.5,4.010423694632238,4.856287582802211,554.1333333333333,5.4066025094627275
0.5,0.75,4.331984722013124,4.514536360184275,674.9166666666666,4.258273826975833
0.5,1,4.389801118295532,4.235461587233485,790.3333333333334,4.87435641537183
1,0,5.061044274582425,4.257162703225768,645.85,6.735582699558847
1,0.25,4.4581825405146995,4.540231944484989,728.8,6.255467316671405
1,0.5,4.700795586059988,4.241907620647676,718.7,5.617086457287585
1,0.75,4.551872956523527,3.736808129797423,669.5833333333334,4.350740561531587
1,1,4.17840253384351,4.812524104272948,714.2,5.9581467422474965
