Día/Turno,Turno 1,Turno 2,Turno 3
Día 1,"PROGRAMACION 1, MATERIALES Y ENSAYOS, INT. A LA CIENCIA DE MATERIALES, TRANSFERENCIA DE CALOR 2, ADMINISTRACION DE OPERACIONES, INT. A LA MECANICA DE SUELOS, ELECTROTECNICA, TECNOLOGIA Y SERV. INDUSTRIALES 1","GEOMETRIA Y ALGEBRA LINEAL 1, SISTEMAS OPERATIVOS, GESTION DE CALIDAD",
Día 2,,,
Día 3,"MATEMATICA DISCRETA 2, FISICA 3, MAQUINAS PARA FLUIDOS I, ELECTRONICA AVANZADA 2",TRANSFERENCIA DE CALOR Y MASA 1,"MECANICA ESTRUCTURAL, DISEÑO DE PROCESOS QUIMICOS"
Día 4,PROGRAMACION 2,"FUNCIONES DE VARIABLE COMPLEJA, PRINCIPIOS DE QUIMICA GENERAL","COMPORTAMIENTO MECANICO DE MATERIALES 1, HORMIGON ESTRUCTURAL 1"
Día 5,"INT. A LA INGENIERIA DE SOFTWARE, TERMODINAMICA APL. A LA ING.DE PROCESOS","MATEMATICA DISCRETA 1, ENERGIA 1- COMBUSTION",ELASTICIDAD
Día 6,TEORIA DE LENGUAJES,MECANICA NEWTONIANA,"ESTRUCTURAS DE ACERO, REDES DE DATOS 2"
Día 7,"CALIDAD DE AGUAS, ELECTROTECNICA I, TECNOLOGIAS DE REDES Y SERVICIOS DE TELECOMUNICACIONES",FISICA 1,
Día 8,CALCULO VECTORIAL,"INSTRUMENTACION INDUSTRIAL, DINAMICA Y CONTROL DE PROCESOS","REDES ELECTRICAS, ELECTRONICA DE POTENCIA"
Día 9,"ELEMENTOS DE MAQUINAS, TRATAMIENTO BIOLOGICO DE EFLUENTES Y RESID.SOLIDOS",GEOMETRIA Y ALGEBRA LINEAL 2,"ADMINISTRACION GENERAL PARA INGENIEROS, IMAGENES MEDICAS: ADQUISICION, INSTRUMENTACION Y GESTION"
Día 10,"PROBABILIDAD Y ESTADISTICA, MEDIDAS ELECTRICAS, ELEMENTOS DE MECANICA DE LOS FLUIDOS, ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS","PATOLOGIA DE LAS ESTRUCTURAS, INGENIERIA DE LAS REACCIONES QUIMICAS 1",CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES
Día 11,,,
Día 12,,,
Día 13,"LOGICA, FISICA 2, SEÑALES Y SISTEMAS, METALURGIA DE TRANSFORMACION, TECNOLOGIA DEL HORMIGON, INT. AL CONTROL INDUSTRIAL, SUBESTACIONES EN MEDIA TENSION, ANTENAS Y PROPAGACION, INGENIERIA BIOQUIMICA","CALCULO DIF. E INTEGRAL EN UNA VARIABLE, INT. A LA INVESTIGACION DE OPERACIONES, FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS",
