Día/Turno,Turno 1,Turno 2,Turno 3
Día 1,MATEMATICA DISCRETA 2 (1026) & MECANICA NEWTONIANA (1122) & SISTEMAS OPERATIVOS (1537) & MAQUINAS PARA FLUIDOS I (1856) & INT. A LA MECANICA DE SUELOS (2207) & TECNOLOGIA Y SERV. INDUSTRIALES 1 (Q71),GEOMETRIA Y ALGEBRA LINEAL 1 (1030) & METALURGIA DE TRANSFORMACION (1724) & REDES ELECTRICAS (5508) & TECNOLOGIAS DE REDES Y SERVICIOS DE TELECOMUNICACIONES (5866),
Día 2,,,
Día 3,MEDIDAS ELECTRICAS (1461) & COMPORTAMIENTO MECANICO DE MATERIALES 1 (1764) & GESTION DE CALIDAD (1954) & INSTRUMENTACION INDUSTRIAL (2706) & ELECTRONICA AVANZADA 2 (5717) & FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS (Q22),MATEMATICA DISCRETA 1 (1023) & TEORIA DE LENGUAJES (1325) & SEÑALES Y SISTEMAS (1457) & ELASTICIDAD (2366) & TECNOLOGIA DEL HORMIGON (2371),INT. AL CONTROL INDUSTRIAL (2707) & DINAMICA Y CONTROL DE PROCESOS (Q94)
Día 4,LOGICA (1027) & CALCULO VECTORIAL (1063),PATOLOGIA DE LAS ESTRUCTURAS (2389),SUBESTACIONES EN MEDIA TENSION (5514)
Día 5,,,
Día 6,CALIDAD DE AGUAS (1854) & INGENIERIA DE LAS REACCIONES QUIMICAS 1 (Q69),FISICA 1 (1151),ENERGIA 1- COMBUSTION (1850)
Día 7,,FISICA 2 (1152) & ELEMENTOS DE MECANICA DE LOS FLUIDOS (1805),PROGRAMACION 2 (1321)
Día 8,FISICA 3 (1153),CALCULO DIF. E INTEGRAL EN UNA VARIABLE (1061) & ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS (2394) & ANTENAS Y PROPAGACION (5817),
Día 9,,,
Día 10,ADMINISTRACION DE OPERACIONES (1915) & ELECTRONICA DE POTENCIA (5609),GEOMETRIA Y ALGEBRA LINEAL 2 (1031),DISEÑO DE PROCESOS QUIMICOS (Q196)
Día 11,PROBABILIDAD Y ESTADISTICA (1025) & INT. A LA INVESTIGACION DE OPERACIONES (1650),TRATAMIENTO BIOLOGICO DE EFLUENTES Y RESID.SOLIDOS (Q56),ELEMENTOS DE MAQUINAS (1720)
Día 12,,PROGRAMACION 1 (1373) & TRANSFERENCIA DE CALOR 2 (1824),INT. A LA CIENCIA DE MATERIALES (1723)
Día 13,MECANICA ESTRUCTURAL (2381) & INGENIERIA BIOQUIMICA (Q81),"CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES (1062) & INT. A LA INGENIERIA DE SOFTWARE (1716) & IMAGENES MEDICAS: ADQUISICION, INSTRUMENTACION Y GESTION (5707) & ELECTROTECNICA (5850) & REDES DE DATOS 2 (5855) & TRANSFERENCIA DE CALOR Y MASA 1 (Q74)",FUNCIONES DE VARIABLE COMPLEJA (1066) & MATERIALES Y ENSAYOS (1508) & PRINCIPIOS DE QUIMICA GENERAL (1620) & ELECTROTECNICA I (2108) & TERMODINAMICA APL. A LA ING.DE PROCESOS (Q21)
