Día/Turno,Turno 1,Turno 2,Turno 3
Día 1,CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES (1062) & FUNCIONES DE VARIABLE COMPLEJA (1066) & INT. A LA CIENCIA DE MATERIALES (1723) & MAQUINAS PARA FLUIDOS I (1856) & ADMINISTRACION DE OPERACIONES (1915) & HORMIGON ESTRUCTURAL 1 (2382),CALCULO DIF. E INTEGRAL EN UNA VARIABLE (1061) & MATERIALES Y ENSAYOS (1508) & METALURGIA DE TRANSFORMACION (1724) & REDES ELECTRICAS (5508) & INGENIERIA DE LAS REACCIONES QUIMICAS 1 (Q69) & TRANSFERENCIA DE CALOR Y MASA 1 (Q74),
Día 2,,,
Día 3,FISICA 2 (1152) & ADMINISTRACION GENERAL PARA INGENIEROS (1944) & GESTION DE CALIDAD (1954) & REDES DE DATOS 2 (5855) & TECNOLOGIAS DE REDES Y SERVICIOS DE TELECOMUNICACIONES (5866) & DINAMICA Y CONTROL DE PROCESOS (Q94),FISICA 1 (1151) & MEDIDAS ELECTRICAS (1461),MECANICA ESTRUCTURAL (2381)
Día 4,CALIDAD DE AGUAS (1854),MATEMATICA DISCRETA 2 (1026) & SUBESTACIONES EN MEDIA TENSION (5514),TERMODINAMICA APL. A LA ING.DE PROCESOS (Q21)
Día 5,,,
Día 6,INT. A LA INVESTIGACION DE OPERACIONES (1650) & ENERGIA 1- COMBUSTION (1850),CALCULO VECTORIAL (1063) & PROGRAMACION 2 (1321),TRATAMIENTO BIOLOGICO DE EFLUENTES Y RESID.SOLIDOS (Q56)
Día 7,"IMAGENES MEDICAS: ADQUISICION, INSTRUMENTACION Y GESTION (5707)",ELECTRONICA DE POTENCIA (5609),ELEMENTOS DE MECANICA DE LOS FLUIDOS (1805)
Día 8,GEOMETRIA Y ALGEBRA LINEAL 1 (1030),GEOMETRIA Y ALGEBRA LINEAL 2 (1031) & MECANICA NEWTONIANA (1122) & SISTEMAS OPERATIVOS (1537),
Día 9,,,
Día 10,INT. A LA MECANICA DE SUELOS (2207) & ELECTRONICA AVANZADA 2 (5717) & TECNOLOGIA Y SERV. INDUSTRIALES 1 (Q71),ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS (2394),MATEMATICA DISCRETA 1 (1023)
Día 11,,PRINCIPIOS DE QUIMICA GENERAL (1620),LOGICA (1027) & FISICA 3 (1153) & COMPORTAMIENTO MECANICO DE MATERIALES 1 (1764)
Día 12,,PATOLOGIA DE LAS ESTRUCTURAS (2389),TRANSFERENCIA DE CALOR 2 (1824) & FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS (Q22)
Día 13,TEORIA DE LENGUAJES (1325) & SEÑALES Y SISTEMAS (1457) & ELEMENTOS DE MAQUINAS (1720) & ESTRUCTURAS DE ACERO (2393),PROGRAMACION 1 (1373) & ELASTICIDAD (2366) & TECNOLOGIA DEL HORMIGON (2371) & INSTRUMENTACION INDUSTRIAL (2706) & DISEÑO DE PROCESOS QUIMICOS (Q196) & INGENIERIA BIOQUIMICA (Q81),PROBABILIDAD Y ESTADISTICA (1025) & INT. A LA INGENIERIA DE SOFTWARE (1716) & ELECTROTECNICA I (2108) & INT. AL CONTROL INDUSTRIAL (2707) & ANTENAS Y PROPAGACION (5817) & ELECTROTECNICA (5850)
