Día/Turno,Turno 1,Turno 2,Turno 3
Día 1,LOGICA (1027) & TEORIA DE LENGUAJES (1325) & SEÑALES Y SISTEMAS (1457) & COMUNICACIONES DIGITALES (1462) & MAQUINAS PARA FLUIDOS I (1856) & HORMIGON ESTRUCTURAL 1 (2382),MATEMATICA DISCRETA 1 (1023) & PROGRAMACION FUNCIONAL (1354) & METALURGIA DE TRANSFORMACION (1724) & INGENIERIA DE LAS REACCIONES QUIMICAS 1 (Q69) & INT. A LA CIENCIA DE LOS MATERIALES (TIM50) & CONTROL DE CALIDAD (TIM61),MECANICA NEWTONIANA (1122) & MATERIALES Y ENSAYOS (1508) & ELEMENTOS DE GESTION LOGISTICA (2244) & FISICA 1 (TIM30) & METALURGIA FISICA (TIM51) & COMPORTAMIENTO MEC. DE MATERIALES (TIM52)
Día 2,FISICA 2 (1152) & PROGRAMACION LOGICA (1340) & PRINCIPIOS DE QUIMICA GENERAL (1620) & INT. AL CONTROL INDUSTRIAL (2707) & FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS (Q22) & INGENIERIA BIOQUIMICA (Q81),INT. A LOS MICROPROCESADORES (1513) & INT. A LA PREVENCION DE RIESGOS LABORALES (Q16),MAQUINAS ELECTRICAS (TIM71)
Día 3,MATEMATICA DISCRETA 2 (1026) & SISTEMAS OPERATIVOS (1537) & INT. A LA CIENCIA DE MATERIALES (1723) & TECNOLOGIA Y SERV. INDUSTRIALES 1 (Q71),GEOMETRIA Y ALGEBRA LINEAL 1 (1030) & MEDIDAS ELECTRICAS (1461) & INT. A LA MECANICA DE SUELOS (2207),
Día 4,,,
Día 5,PROGRAMACION 2 (1321) & PLAN. ESTRAT. Y ESTRATEGIA COMPETITIVA (2391) & MATEMATICA 3 (TIM22) & ELEMENTOS DE MAQUINAS (TIM53),CALIDAD DE AGUAS (1854),ENERGIA 1- COMBUSTION (1850)
Día 6,PROGRAMACION 4 (1324) & INT. A LA INGENIERIA DE SOFTWARE (1716) & ADMINISTRACION DE OPERACIONES (1915),,CALCULO VECTORIAL (1063) & TRATAMIENTO DE EFLUENTES Y RESIDUOS SOLIDOS (Q104)
Día 7,MAQUINAS PARA FLUIDOS (TIM42),GEOMETRIA Y ALGEBRA LINEAL 2 (1031) & INSTRUMENTACION Y CONTROL (TIM72),MATEMATICA 2 (TIM21)
Día 8,PROGRAMACION PARA INGENIERIA ELECTRICA (1307) & TRANSFERENCIA DE CALOR Y MASA 2 (Q68),ELEMENTOS DE MECANICA DE LOS FLUIDOS (1805),ADMINISTRACION GENERAL PARA INGENIEROS (1944) & ELECTRONICA AVANZADA 2 (5717)
Día 9,METALURGIA DE TRANSFORMACION (TIM54),CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES (1062) & INT. A LA INVESTIGACION DE OPERACIONES (1650),PROBABILIDAD Y ESTADISTICA (1025) & MATEMATICA INICIAL (MI2)
Día 10,CALCULO DIF. E INTEGRAL EN UNA VARIABLE (1061) & SUBESTACIONES EN MEDIA TENSION (5514) & ANTENAS Y PROPAGACION (5817) & MATEMATICA 1 (TIM20) & INGLES TECNICO (TIM81),COMPORTAMIENTO MECANICO DE MATERIALES 1 (1764) & PATOLOGIA DE LAS ESTRUCTURAS (2389) & ELECTRONICA DE POTENCIA (5609) & DINAMICA Y CONTROL DE PROCESOS (Q94) & FISICA 2 (TIM31) & TRANSFERENCIA DE CALOR (TIM41),
Día 11,,,
Día 12,FISICA 1 (1151) & GESTION DE CALIDAD (1954) & ELASTICIDAD (2366) & ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS (2394) & REDES ELECTRICAS (5508) & ELECTROTECNICA (5850),FISICA 3 (1153) & MOTORES DE COMBUSTION INTERNA (1818) & MECANICA ESTRUCTURAL (2381) & ELECTRONICA FUNDAMENTAL (5715) & REDES DE DATOS 2 (5855) & TECNOLOGIAS DE REDES Y SERVICIOS DE TELECOMUNICACIONES (5866),PROGRAMACION 1 (1373) & TRANSFERENCIA DE CALOR 2 (1824) & ELECTROTECNICA I (2108) & TECNOLOGIA DEL HORMIGON (2371) & INSTRUMENTACION INDUSTRIAL (2706) & TERMODINAMICA APL. A LA ING.DE PROCESOS (Q21)
