Día/Turno,Turno 1,Turno 2,Turno 3
Día 1,MATEMATICA DISCRETA 1 (1023) & TEORIA DE LENGUAJES (1325) & SEÑALES Y SISTEMAS (1457) & ELEMENTOS DE GESTION LOGISTICA (2244) & INT. A LA PREVENCION DE RIESGOS LABORALES (Q16) & METALURGIA DE TRANSFORMACION (TIM54),MATEMATICA DISCRETA 2 (1026) & PROGRAMACION LOGICA (1340) & MEDIDAS ELECTRICAS (1461) & INT. A LA CIENCIA DE MATERIALES (1723) & TRATAMIENTO DE EFLUENTES Y RESIDUOS SOLIDOS (Q104) & INGENIERIA DE LAS REACCIONES QUIMICAS 1 (Q69),COMUNICACIONES DIGITALES (1462) & MOTORES DE COMBUSTION INTERNA (1818) & INSTRUMENTACION INDUSTRIAL (2706) & TERMODINAMICA APL. A LA ING.DE PROCESOS (Q21) & MATEMATICA 1 (TIM20) & ELEMENTOS DE MAQUINAS (TIM53)
Día 2,MECANICA NEWTONIANA (1122) & PROGRAMACION FUNCIONAL (1354) & ELEMENTOS DE MECANICA DE LOS FLUIDOS (1805) & MAQUINAS PARA FLUIDOS I (1856) & HORMIGON ESTRUCTURAL 1 (2382) & TRANSFERENCIA DE CALOR Y MASA 2 (Q68),MATEMATICA 3 (TIM22),ANTENAS Y PROPAGACION (5817) & CONTROL DE CALIDAD (TIM61)
Día 3,CALCULO DIF. E INTEGRAL EN UNA VARIABLE (1061) & PROGRAMACION PARA INGENIERIA ELECTRICA (1307),LOGICA (1027) & FISICA 2 (1152) & SISTEMAS OPERATIVOS (1537) & INGENIERIA BIOQUIMICA (Q81) & MAQUINAS ELECTRICAS (TIM71),
Día 4,,,
Día 5,FISICA 1 (1151) & INT. A LA MECANICA DE SUELOS (2207) & PATOLOGIA DE LAS ESTRUCTURAS (2389) & INT. AL CONTROL INDUSTRIAL (2707),FISICA 3 (1153) & INGLES TECNICO (TIM81),COMPORTAMIENTO MECANICO DE MATERIALES 1 (1764)
Día 6,COMPORTAMIENTO MEC. DE MATERIALES (TIM52),PROGRAMACION 2 (1321) & ADMINISTRACION DE OPERACIONES (1915),ELECTRONICA AVANZADA 2 (5717)
Día 7,PROGRAMACION 1 (1373) & MATERIALES Y ENSAYOS (1508),CALIDAD DE AGUAS (1854),PLAN. ESTRAT. Y ESTRATEGIA COMPETITIVA (2391) & SUBESTACIONES EN MEDIA TENSION (5514)
Día 8,PROGRAMACION 4 (1324) & INT. A LA INGENIERIA DE SOFTWARE (1716),CALCULO VECTORIAL (1063),TRANSFERENCIA DE CALOR (TIM41)
Día 9,ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS (2394),ELECTROTECNICA I (2108),GEOMETRIA Y ALGEBRA LINEAL 2 (1031) & ADMINISTRACION GENERAL PARA INGENIEROS (1944)
Día 10,GEOMETRIA Y ALGEBRA LINEAL 1 (1030) & MECANICA ESTRUCTURAL (2381) & REDES DE DATOS 2 (5855) & TECNOLOGIAS DE REDES Y SERVICIOS DE TELECOMUNICACIONES (5866) & MAQUINAS PARA FLUIDOS (TIM42) & INT. A LA CIENCIA DE LOS MATERIALES (TIM50),PROBABILIDAD Y ESTADISTICA (1025) & INT. A LA INVESTIGACION DE OPERACIONES (1650) & TRANSFERENCIA DE CALOR 2 (1824) & ELECTRONICA DE POTENCIA (5609) & ELECTRONICA FUNDAMENTAL (5715) & FISICA 2 (TIM31),
Día 11,,,
Día 12,CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES (1062) & GESTION DE CALIDAD (1954) & REDES ELECTRICAS (5508) & MATEMATICA INICIAL (MI2) & DINAMICA Y CONTROL DE PROCESOS (Q94) & INSTRUMENTACION Y CONTROL (TIM72),TECNOLOGIA DEL HORMIGON (2371) & ELECTROTECNICA (5850) & TECNOLOGIA Y SERV. INDUSTRIALES 1 (Q71) & MATEMATICA 2 (TIM21) & FISICA 1 (TIM30) & METALURGIA FISICA (TIM51),INT. A LOS MICROPROCESADORES (1513) & PRINCIPIOS DE QUIMICA GENERAL (1620) & METALURGIA DE TRANSFORMACION (1724) & ENERGIA 1- COMBUSTION (1850) & ELASTICIDAD (2366) & FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS (Q22)
