Día/Turno,Turno 1,Turno 2,Turno 3
Día 1,CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES (1062) & MECANICA NEWTONIANA (1122) & SEÑALES ALEATORIAS Y MODULACION (1460) & COMPORTAMIENTO MECANICO DE MATERIALES 2 (1765) & COSTOS PARA INGENIERIA (1922) & INT. A LA INGENIERIA BIOQUIMICA (Q77C),TEORIA DE CIRCUITOS (1456) & TIEMPOS Y METODOS (2038) & GEOLOGIA DE INGENIERIA (2206) & RESISTENCIA DE MATERIALES 1 (2368) & HIGIENE Y SERV. DE PLANTAS PROC. DE ALIMENTOS (A65) & TRANSFERENCIA DE CALOR Y MASA 1 (Q74),
Día 2,,,
Día 3,METALURGIA FISICA (1719) & TECNOLOGIA DE SERVICIOS AUDIOVISUALES (5851) & SISTEMAS Y CONTROL (5905) & MATEMATICA 1 (TIM20) & INT. A LA TERMODINAMICA (TIM32) & PROYECTO DE INVERSION (TIM64),FISICA 3 (1153) & MECANICA DE LOS FLUIDOS (1226) & INT. AL TRANSPORTE (2510) & DISEÑO DE SISTEMAS MEDICOS IMPLANTABLES ACTIVOS (5714) & INT. A LA INGENIERIA DE PROCESOS (Q59B),CALCULO DIF. E INTEGRAL EN UNA VARIABLE (1061) & REDES DE COMPUTADORAS (1446) & MATEMATICA INICIAL (MI2) & INT. A LA ELECTROTECNIA (TIM70)
Día 4,MATEMATICA 2 (TIM21),SEGURIDAD INDUSTRIAL (TIM65),FISICA 2 (1152)
Día 5,TECNOLOGIA Y SERV. INDUSTRIALES 2 (Q100),MATEMATICA DISCRETA 2 (1026) & FUNDAMENTOS DE BASES DE DATOS (1911) & FUNDAMENTOS DE APRENDIZAJE AUTOMATICO Y RECONOCIMIENTO DE PATRONES (5852),MATEMATICA DISCRETA 1 (1023)
Día 6,PROGRAMACION 3 (1323),MET. COMPUT.APLIC.AL CALCULO ESTRUCTURAL (2380),FISICA TERMICA (1123)
Día 7,VIBRACIONES Y ONDAS (1144) & REFRIGERACION (1638),FLUIDODINAMICA (Q66),FISICA 1 (1151)
Día 8,PROGRAMACION 2 (1321) & COSTOS PARA INGENIERIA (TIM60),METODOS NUMERICOS (1033) & ELECTROTECNICA II (2109) & INGENIERIA DE LAS REACCIONES QUIMICAS 2 (Q70) & FISICA 1 (TIM30),
Día 9,,,
Día 10,INGENIERIA BIOMEDICA (5710) & INT. A LA CIENCIA DE LOS MATERIALES (TIM50) & INGLES TECNICO (TIM81),INT. A LAS ECUACIONES DIFERENCIALES (1064) & ARQUITECTURA DE COMPUTADORAS (1443),GEOMETRIA Y ALGEBRA LINEAL 1 (1030)
Día 11,GEOMETRIA Y ALGEBRA LINEAL 2 (1031) & ELECTROMAGNETISMO (1128) & DINAMICA DE MAQUINAS Y VIBRACION (1718) & MAQUINAS ELECTRICAS (5602) & ELEMENTOS DE MAQUINAS (TIM53),DISEÑO DE REDES DE COND.EN ING.SANITARIA (1852) & INT. A LA INGENIERIA SANITARIA (2315) & INGENIERIA CLINICA (5718) & GENERADORES DE VAPOR (TIM44) & METALURGIA FISICA (TIM51) & ESTUDIO DEL TRABAJO (TIM63),PROBABILIDAD Y ESTADISTICA (1025) & DINAMICA Y CONTROL DE PROCESOS (Q94) & INT. A LA MECANICA DE LOS FLUIDOS (TIM40) & MOTORES DE COMB. INT. Y TURBINAS DE GAS (TIM43) & REFRIGERACION INDUSTRIAL (TIM45) & GESTION DEL MANTENIMIENTO (TIM62)
Día 12,,,
Día 13,,,
Día 14,,,
Día 15,RESISTENCIA DE MATERIALES 2 (1312) & PROGRAMACION 1 (1373) & GENERADORES DE VAPOR (1815) & SISTEMAS OLEOHIDRAULICOS Y NEUMATICOS (2200) & INSTALACIONES ELECTRICAS (5507) & SUBESTACIONES EN MEDIA TENSION (5514),CALCULO VECTORIAL (1063) & COMPUTACION 1 (1411) & CONTROL DE CALIDAD (1510) & TRANSFERENCIA DE CALOR 1 (1823) & REDES DE DATOS 1 (5824) & MECANICA APLICADA (ING.QUÍM) (Q73),
