Día/Turno,Turno 1,Turno 2,Turno 3
Día 1,MATEMATICA DISCRETA 1 (1023) & FISICA TERMICA (1123) & ELECTROMAGNETISMO (1128) & VIBRACIONES Y ONDAS (1144) & ELECTROTECNICA II (2109) & GEOLOGIA DE INGENIERIA (2206),MECANICA NEWTONIANA (1122) & PROGRAMACION 3 (1323) & GENERADORES DE VAPOR (1815) & SISTEMAS OLEOHIDRAULICOS Y NEUMATICOS (2200) & INSTALACIONES ELECTRICAS (5507) & TECNOLOGIA Y SERV. INDUSTRIALES 2 (Q100),
Día 2,,,
Día 3,PROGRAMACION 1 (1373) & SEÑALES ALEATORIAS Y MODULACION (1460) & TRANSFERENCIA DE CALOR 1 (1823) & INT. AL TRANSPORTE (2510) & TECNOLOGIA DE SERVICIOS AUDIOVISUALES (5851) & INT. A LA INGENIERIA BIOQUIMICA (Q77C),DISEÑO DE REDES DE COND.EN ING.SANITARIA (1852) & RESISTENCIA DE MATERIALES 1 (2368) & INGENIERIA CLINICA (5718) & TRANSFERENCIA DE CALOR Y MASA 1 (Q74) & MATEMATICA 1 (TIM20) & FISICA 1 (TIM30),REDES DE COMPUTADORAS (1446) & GENERADORES DE VAPOR (TIM44) & COSTOS PARA INGENIERIA (TIM60) & INGLES TECNICO (TIM81)
Día 4,FLUIDODINAMICA (Q66),MET. COMPUT.APLIC.AL CALCULO ESTRUCTURAL (2380),CALCULO VECTORIAL (1063) & MOTORES DE COMB. INT. Y TURBINAS DE GAS (TIM43)
Día 5,CALCULO DIF. E INTEGRAL EN UNA VARIABLE (1061) & MATEMATICA INICIAL (MI2),,MATEMATICA DISCRETA 2 (1026) & FUNDAMENTOS DE BASES DE DATOS (1911) & FUNDAMENTOS DE APRENDIZAJE AUTOMATICO Y RECONOCIMIENTO DE PATRONES (5852)
Día 6,METODOS NUMERICOS (1033) & CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES (1062),,SUBESTACIONES EN MEDIA TENSION (5514) & DISEÑO DE SISTEMAS MEDICOS IMPLANTABLES ACTIVOS (5714)
Día 7,REFRIGERACION INDUSTRIAL (TIM45),,PROBABILIDAD Y ESTADISTICA (1025) & GEOMETRIA Y ALGEBRA LINEAL 1 (1030) & CONTROL DE CALIDAD (1510)
Día 8,GEOMETRIA Y ALGEBRA LINEAL 2 (1031),METALURGIA FISICA (1719) & SISTEMAS Y CONTROL (5905) & INGENIERIA DE LAS REACCIONES QUIMICAS 2 (Q70) & SEGURIDAD INDUSTRIAL (TIM65),
Día 9,,,
Día 10,TEORIA DE CIRCUITOS (1456) & MATEMATICA 2 (TIM21) & GESTION DEL MANTENIMIENTO (TIM62) & ESTUDIO DEL TRABAJO (TIM63) & INT. A LA ELECTROTECNIA (TIM70),INT. A LA INGENIERIA DE PROCESOS (Q59B),FISICA 3 (1153) & PROGRAMACION 2 (1321) & DINAMICA DE MAQUINAS Y VIBRACION (1718) & MAQUINAS ELECTRICAS (5602) & INGENIERIA BIOMEDICA (5710) & ELEMENTOS DE MAQUINAS (TIM53)
Día 11,REFRIGERACION (1638) & HIGIENE Y SERV. DE PLANTAS PROC. DE ALIMENTOS (A65) & DINAMICA Y CONTROL DE PROCESOS (Q94) & INT. A LA CIENCIA DE LOS MATERIALES (TIM50) & METALURGIA FISICA (TIM51) & PROYECTO DE INVERSION (TIM64),MECANICA DE LOS FLUIDOS (1226) & RESISTENCIA DE MATERIALES 2 (1312) & COMPUTACION 1 (1411) & TIEMPOS Y METODOS (2038) & REDES DE DATOS 1 (5824) & INT. A LA TERMODINAMICA (TIM32),FISICA 1 (1151) & FISICA 2 (1152) & COMPORTAMIENTO MECANICO DE MATERIALES 2 (1765) & COSTOS PARA INGENIERIA (1922) & MECANICA APLICADA (ING.QUÍM) (Q73) & INT. A LA MECANICA DE LOS FLUIDOS (TIM40)
Día 15,Int. a las Ecuaciones Diferenciales (1064) & Int. a la Ingeniería Sanitaria (2315),Arquitectura de Computadoras (1443),
