Día/Turno,Turno 1,Turno 2,Turno 3
Día 1,GEOMETRIA Y ALGEBRA LINEAL 1 (1030) & CALIDAD DE AGUAS (1854),GEOMETRIA Y ALGEBRA LINEAL 2 (1031) & TECNOLOGIA Y SERV. INDUSTRIALES 1 (Q71) & MATERIALES Y ENSAYOS (1508) & INT. AL CONTROL INDUSTRIAL (2707) & COMPORTAMIENTO MECANICO DE MATERIALES 1 (1764),
Día 2,,,
Día 3,PROBABILIDAD Y ESTADISTICA (1025),MATEMATICA INICIAL (MI2) & ENERGIA 1- COMBUSTION (1850),"METALURGIA FISICA (TIM51) & ANTENAS Y PROPAGACION (5817) & IMAGENES MEDICAS: ADQUISICION, INSTRUMENTACION Y GESTION (5707) & HORMIGON ESTRUCTURAL 1 (2382) & TEORIA DE LENGUAJES (1325) & MATEMATICA 1 (TIM20) & MATEMATICA 3 (TIM22) & METALURGIA DE TRANSFORMACION (1724)"
Día 4,INGENIERIA BIOQUIMICA (Q81) & CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES (1062) & INGENIERIA DE LAS REACCIONES QUIMICAS 1 (Q69),TRANSFERENCIA DE CALOR (TIM41),FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS (Q22) & ELECTROTECNICA (5850) & ELASTICIDAD (2366) & ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS (2394)
Día 5,,,
Día 6,FISICA 3 (1153) & DINAMICA Y CONTROL DE PROCESOS (Q94) & SEÑALES Y SISTEMAS (1457) & TRANSFERENCIA DE CALOR 2 (1824),INT. A LA INVESTIGACION DE OPERACIONES (1610),SUBESTACIONES EN MEDIA TENSION (5514) & MATEMATICA 2 (TIM21) & INSTRUMENTACION Y CONTROL (TIM72) & TECNOLOGIA DEL HORMIGON (2371)
Día 7,,FISICA 1 (1151),REDES DE DATOS 2 (5855) & ELECTRONICA DE POTENCIA (5609) & ESTRUCTURAS DE ACERO (2393) & INT. A LA INGENIERIA DE SOFTWARE (1716) & ELECTROTECNICA I (2108) & MAQUINAS ELECTRICAS (TIM71)
Día 8,FISICA 2 (1152) & MECANICA NEWTONIANA (1122),LOGICA (1027) & TRATAMIENTO DE EFLUENTES Y RESIDUOS SOLIDOS (Q104) & ELEMENTOS DE MAQUINAS (1720) & MECANICA ESTRUCTURAL (2381) & COMPORTAMIENTO MEC. DE MATERIALES (TIM52),
Día 9,,,
Día 10,MEDIDAS ELECTRICAS (1461) & TERMODINAMICA APL. A LA ING.DE PROCESOS (Q21) & PRINCIPIOS DE QUIMICA GENERAL (1620) & ADMINISTRACION DE OPERACIONES (1915),MATEMATICA DISCRETA 1 (1023) & METALURGIA DE TRANSFORMACION (1724),MATEMATICA DISCRETA 2 (1026) & INT. A LA MECANICA DE SUELOS (2207) & INT. A LA CIENCIA DE MATERIALES (1723) & INSTRUMENTACION INDUSTRIAL (2706) & INGLES TECNICO (TIM81) & MAQUINAS PARA FLUIDOS (TIM42)
Día 11,TRANSFERENCIA DE CALOR Y MASA 2 (Q68) & TECNOLOGIAS DE REDES Y SERVICIOS DE TELECOMUNICACIONES (5866),DISEÑO DE PROCESOS QUIMICOS (Q196),INT A LA INGENIERIA INDUSTRIAL (int a la ingenieria industrial) & PATOLOGIA DE LAS ESTRUCTURAS (2389) & CALCULO VECTORIAL (1063) & SISTEMAS OPERATIVOS (1537) & FISICA 1 (1151) & CONTROL DE CALIDAD (1510)
Día 12,PROGRAMACION 2 (1321) & MAQUINAS PARA FLUIDOS I (1856) & ELECTRONICA AVANZADA 2 (5717),PROGRAMACION 1 (1322),REDES ELECTRICAS (5508) & ELEMENTOS DE MECANICA DE LOS FLUIDOS (1805) & GESTION DE CALIDAD (1954) & INT. A LA CIENCIA DE LOS MATERIALES (TIM50) & FISICA 2 (1152) & HIDRAULICA Y NEUMATICA (TIM75)
Día 13,FUNCIONES DE VARIABLE COMPLEJA (1066),ADMINISTRACION GENERAL PARA INGENIEROS (1944),
